Intergroup Price to Free Cash Flow Ratio Historical Data,Intergroup Price to Free Cash Flow Ratio Historical Data,Intergroup Price to Free Cash Flow Ratio Historical Data,Intergroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.2,,5.87
2024-12-31,14.27,$2.08,6.86
2024-09-30,15.44,$0.96,16.07
2024-06-30,21.22,0,0.0
2024-03-31,22.45,$2.56,8.76
2023-12-31,19.65,$1.25,15.66
2023-09-30,30.52,$0.53,57.23
2023-06-30,35.68,0,0.0
2023-03-31,45.6,$1.66,27.44
2022-12-31,47.13,$-0.28,0.0
2022-09-30,51.24,$-1.08,0.0
2022-06-30,42.33,$-0.00,0.0
2022-03-31,52.0,$-4.86,0.0
2021-12-31,51.0,$-5.93,0.0
2021-09-30,44.09,$-5.16,0.0
2021-06-30,43.01,$-3.37,0.0
2021-03-31,36.56,$-6.22,0.0
2020-12-31,31.62,$-2.58,0.0
2020-09-30,31.26,$-0.43,0.0
2020-06-30,26.5,$-2.21,0.0
2020-03-31,29.0,$2.09,13.87
2019-12-31,37.45,$4.90,7.64
2019-09-30,29.76,$4.01,7.42
2019-06-30,30.67,$4.53,6.77
2019-03-31,30.7,$4.90,6.26
2018-12-31,32.18,$3.38,9.53
2018-09-30,35.0,$4.77,7.34
2018-06-30,26.71,$3.93,6.79
2018-03-31,24.0,$1.09,21.96
2017-12-31,23.84,$2.03,11.72
2017-09-30,24.05,$3.00,8.02
2017-06-30,25.4,$2.15,11.83
2017-03-31,25.2,$5.67,4.45
2016-12-31,26.9,$2.50,10.75
2016-09-30,24.3,$0.28,86.32
2016-06-30,25.5,$0.93,27.3
2016-03-31,25.06,$-2.80,0.0
2015-12-31,25.49,$4.89,5.22
2015-09-30,27.66,$6.10,4.54
2015-06-30,19.47,$4.83,4.03
2015-03-31,20.0,$5.86,3.41
2014-12-31,17.61,$-0.66,0.0
2014-09-30,19.5,$-1.69,0.0
2014-06-30,19.1,$-0.32,0.0
2014-03-31,18.4,$-0.15,0.0
2013-12-31,18.49,$0.15,122.29
2013-09-30,19.68,$0.48,41.36
2013-06-30,20.99,$-0.35,0.0
2013-03-31,23.83,$-0.11,0.0
2012-12-31,21.04,$0.59,35.61
2012-09-30,23.66,$1.62,14.63
2012-06-30,24.94,$2.60,9.58
2012-03-31,19.9,$1.73,11.53
2011-12-31,18.0,$2.28,7.9
2011-09-30,22.99,$0.32,72.78
2011-06-30,24.92,$0.50,49.94
2011-03-31,21.24,$0.81,26.37
2010-12-31,21.61,$-0.11,0.0
2010-09-30,16.91,$1.97,8.57
2010-06-30,15.26,$1.76,8.67
2010-03-31,10.88,$1.66,6.55
2009-12-31,10.13,$2.75,3.68
