Carlyle Secured Lending Price to Free Cash Flow Ratio Historical Data,Carlyle Secured Lending Price to Free Cash Flow Ratio Historical Data,Carlyle Secured Lending Price to Free Cash Flow Ratio Historical Data,Carlyle Secured Lending Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.2,,9.32
2024-12-31,17.93,$1.85,9.71
2024-09-30,16.97,$4.79,3.54
2024-06-30,17.26,$4.49,3.85
2024-03-31,15.43,$5.08,3.04
2023-12-31,13.77,$4.10,3.36
2023-09-30,12.97,$2.77,4.68
2023-06-30,12.64,$3.29,3.85
2023-03-31,11.48,$-0.17,0.0
2022-12-31,11.68,$0.25,46.25
2022-09-30,9.05,$2.18,4.15
2022-06-30,9.72,$0.05,214.47
2022-03-31,10.67,$1.61,6.65
2021-12-31,9.91,$1.27,7.82
2021-09-30,9.4,$2.74,3.44
2021-06-30,9.01,$3.35,2.69
2021-03-31,8.77,$6.12,1.43
2020-12-31,6.63,$5.41,1.23
2020-09-30,5.56,$2.93,1.9
2020-06-30,5.14,$2.15,2.39
2020-03-31,3.0,$0.62,4.86
2019-12-31,7.2,$-1.53,0.0
2019-09-30,7.44,$-1.41,0.0
2019-06-30,7.68,$-0.99,0.0
2019-03-31,7.08,$-3.02,0.0
2018-12-31,5.92,$0.46,12.85
2018-09-30,7.63,$-0.79,0.0
2018-06-30,7.61,$-2.79,0.0
2018-03-31,7.83,$-6.12,0.0
