TherapeuticsMD Price to Free Cash Flow Ratio Historical Data,TherapeuticsMD Price to Free Cash Flow Ratio Historical Data,TherapeuticsMD Price to Free Cash Flow Ratio Historical Data,TherapeuticsMD Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.84,,0.0
2024-09-30,1.66,$-0.42,0.0
2024-06-30,1.61,$-0.92,0.0
2024-03-31,2.29,$-1.34,0.0
2023-12-31,2.25,$-2.21,0.0
2023-09-30,3.02,$1.56,1.93
2023-06-30,4.12,$4.23,0.97
2023-03-31,3.75,$2.19,1.71
2022-12-31,5.59,$1.00,5.59
2022-09-30,6.64,$3.03,2.19
2022-06-30,9.95,$-3.09,0.0
2022-03-31,19.0,$-3.47,0.0
2021-12-31,17.78,$-6.93,0.0
2021-09-30,37.07,$-17.49,0.0
2021-06-30,59.5,$-19.73,0.0
2021-03-31,67.0,$-27.29,0.0
2020-12-31,60.5,$-28.96,0.0
2020-09-30,79.0,$-33.58,0.0
2020-06-30,62.5,$-33.01,0.0
2020-03-31,53.0,$-33.37,0.0
2019-12-31,121.0,$-34.13,0.0
2019-09-30,181.5,$-30.77,0.0
2019-06-30,130.0,$-32.08,0.0
2019-03-31,243.5,$-27.21,0.0
2018-12-31,190.5,$-23.78,0.0
2018-09-30,328.0,$-22.48,0.0
2018-06-30,312.0,$-19.33,0.0
2018-03-31,243.5,$-17.89,0.0
2017-12-31,302.0,$-18.54,0.0
2017-09-30,264.5,$-17.35,0.0
2017-06-30,263.5,$-18.33,0.0
2017-03-31,360.0,$-17.93,0.0
2016-12-31,288.5,$-17.73,0.0
2016-09-30,340.5,$-18.95,0.0
2016-06-30,425.0,$-19.04,0.0
2016-03-31,320.0,$-22.01,0.0
2015-12-31,518.5,$-22.87,0.0
2015-09-30,293.0,$-22.89,0.0
2015-06-30,393.0,$-21.48,0.0
2015-03-31,302.5,$-18.06,0.0
2014-12-31,222.5,$-15.21,0.0
2014-09-30,232.0,$-11.99,0.0
2014-06-30,221.0,$-10.53,0.0
2014-03-31,315.5,$-9.45,0.0
2013-12-31,260.5,$-8.16,0.0
2013-09-30,146.5,$-8.50,0.0
2013-06-30,151.5,$-7.76,0.0
2013-03-31,90.0,$-7.23,0.0
2012-12-31,155.0,$-6.99,0.0
2012-09-30,172.5,$-5.91,0.0
2012-06-30,140.0,$-5.92,0.0
2012-03-31,120.0,$-4.76,0.0
2011-12-31,75.0,$-3.98,0.0
