Nomad Foods Price to Free Cash Flow Ratio Historical Data,Nomad Foods Price to Free Cash Flow Ratio Historical Data,Nomad Foods Price to Free Cash Flow Ratio Historical Data,Nomad Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.55,,8.25
2024-12-31,16.78,$2.37,7.08
2024-09-30,18.9,$2.03,9.3
2024-06-30,16.21,$1.99,8.14
2024-03-31,19.08,$2.52,7.56
2023-12-31,16.39,$2.20,7.44
2023-09-30,14.72,$2.33,6.31
2023-06-30,16.94,$1.79,9.47
2023-03-31,18.12,$1.20,15.1
2022-12-31,16.67,$1.36,12.27
2022-09-30,13.73,$1.02,13.53
2022-06-30,19.33,$0.95,20.33
2022-03-31,21.84,$1.21,17.99
2021-12-31,24.55,$1.51,16.27
2021-09-30,26.65,$1.33,19.97
2021-06-30,27.34,$1.55,17.65
2021-03-31,26.56,$2.50,10.63
2020-12-31,24.58,$2.30,10.69
2020-09-30,24.64,$2.37,10.41
2020-06-30,20.74,$2.44,8.5
2020-03-31,17.95,$1.38,13.04
2019-12-31,21.63,$1.51,14.3
2019-09-30,19.82,$2.15,9.21
2019-06-30,20.66,$1.88,11.01
2019-03-31,19.78,$1.98,9.97
2018-12-31,16.17,$1.92,8.41
2018-09-30,19.59,$0.97,20.18
2018-06-30,18.56,$0.95,19.64
2018-03-31,15.22,$1.19,12.84
2017-12-31,16.35,$1.00,16.35
2017-09-30,14.09,$1.11,12.75
2017-06-30,13.65,$1.35,10.11
2017-03-31,11.07,$1.42,7.8
2016-12-31,9.25,$1.47,6.29
