Anika Therapeutics Price to Free Cash Flow Ratio Historical Data,Anika Therapeutics Price to Free Cash Flow Ratio Historical Data,Anika Therapeutics Price to Free Cash Flow Ratio Historical Data,Anika Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.62,,0.0
2024-09-30,24.7,$-0.05,0.0
2024-06-30,25.33,$0.08,313.88
2024-03-31,25.4,$-0.28,0.0
2023-12-31,22.66,$-0.49,0.0
2023-09-30,18.63,$-0.76,0.0
2023-06-30,25.98,$-1.08,0.0
2023-03-31,28.72,$-0.33,0.0
2022-12-31,29.6,$-0.21,0.0
2022-09-30,23.8,$0.16,150.54
2022-06-30,22.32,$0.14,158.07
2022-03-31,25.11,$0.20,126.31
2021-12-31,35.83,$0.22,161.11
2021-09-30,42.56,$0.14,296.79
2021-06-30,43.29,$0.48,89.46
2021-03-31,40.79,$0.58,69.79
2020-12-31,45.26,$0.80,56.28
2020-09-30,35.39,$1.54,22.93
2020-06-30,37.73,$1.80,20.95
2020-03-31,28.91,$1.88,15.37
2019-12-31,51.85,$2.38,21.81
2019-09-30,54.89,$2.13,25.78
2019-06-30,40.62,$2.18,18.68
2019-03-31,30.24,$2.10,14.41
2018-12-31,33.61,$2.06,16.31
2018-09-30,42.18,$1.72,24.46
2018-06-30,32.0,$1.65,19.38
2018-03-31,49.72,$1.68,29.66
2017-12-31,53.91,$2.11,25.52
2017-09-30,58.0,$2.12,27.42
2017-06-30,49.34,$2.06,23.95
2017-03-31,43.44,$1.50,28.95
2016-12-31,48.96,$0.69,70.93
2016-09-30,47.85,$0.96,49.6
2016-06-30,53.65,$0.92,58.28
2016-03-31,44.72,$1.87,23.97
2015-12-31,38.16,$2.00,19.05
2015-09-30,31.83,$2.36,13.47
2015-06-30,33.03,$2.31,14.33
2015-03-31,41.17,$1.90,21.67
2014-12-31,40.74,$2.52,16.19
2014-09-30,36.66,$2.09,17.56
2014-06-30,46.33,$2.12,21.88
2014-03-31,41.1,$2.11,19.48
2013-12-31,38.16,$1.68,22.71
2013-09-30,23.89,$1.49,16.03
2013-06-30,17.0,$1.14,14.98
2013-03-31,14.52,$1.20,12.14
2012-12-31,9.94,$0.63,15.77
2012-09-30,15.02,$0.81,18.62
2012-06-30,13.59,$0.86,15.82
2012-03-31,12.54,$0.41,30.27
2011-12-31,9.8,$0.64,15.36
2011-09-30,5.44,$0.34,15.82
2011-06-30,7.12,$0.33,21.4
2011-03-31,8.96,$0.52,17.38
2010-12-31,6.67,$0.37,17.96
2010-09-30,6.01,$0.39,15.32
2010-06-30,5.89,$0.15,38.05
2010-03-31,7.11,$0.07,95.2
2009-12-31,7.63,$-0.08,0.0
