Armata Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Armata Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Armata Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Armata Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.01,,0.0
2024-09-30,2.37,$-1.16,0.0
2024-06-30,2.75,$-1.36,0.0
2024-03-31,4.18,$-1.30,0.0
2023-12-31,3.24,$-1.54,0.0
2023-09-30,3.0,$-1.58,0.0
2023-06-30,1.14,$-1.21,0.0
2023-03-31,1.67,$-1.43,0.0
2022-12-31,1.24,$-1.01,0.0
2022-09-30,4.22,$-1.07,0.0
2022-06-30,3.89,$-0.97,0.0
2022-03-31,4.89,$-0.88,0.0
2021-12-31,5.48,$-1.03,0.0
2021-09-30,3.62,$-1.13,0.0
2021-06-30,3.97,$-1.13,0.0
2021-03-31,4.78,$-1.03,0.0
2020-12-31,2.98,$-1.16,0.0
2020-09-30,3.19,$-1.27,0.0
2020-06-30,3.92,$-1.32,0.0
2020-03-31,3.1,$-1.82,0.0
2019-12-31,3.25,$-1.96,0.0
2019-09-30,3.7,$-2.17,0.0
2019-06-30,4.01,$-2.35,0.0
2019-03-31,4.21,$0.71,5.96
2018-12-31,2.89,$-2.46,0.0
2018-09-30,14.14,$-10.53,0.0
2018-06-30,15.82,$-5.10,0.0
2018-03-31,15.26,$4.16,3.67
2017-12-31,14.14,$-19.71,0.0
2017-09-30,12.74,$-47.70,0.0
2017-06-30,10.91,$-71.52,0.0
2017-03-31,60.19,$-106.37,0.0
2016-12-31,61.6,$-154.93,0.0
2016-09-30,212.8,$-192.98,0.0
2016-06-30,217.0,$-357.84,0.0
