Big 5 Sporting Goods Price to Free Cash Flow Ratio Historical Data,Big 5 Sporting Goods Price to Free Cash Flow Ratio Historical Data,Big 5 Sporting Goods Price to Free Cash Flow Ratio Historical Data,Big 5 Sporting Goods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.97,,0.0
2024-12-31,1.79,$-1.01,0.0
2024-09-30,2.09,$-0.22,0.0
2024-06-30,2.96,$0.30,9.98
2024-03-31,3.47,$0.19,17.88
2023-12-31,6.17,$0.35,17.87
2023-09-30,6.69,$0.46,14.43
2023-06-30,8.47,$-0.23,0.0
2023-03-31,6.88,$-0.24,0.0
2022-12-31,7.68,$-1.88,0.0
2022-09-30,9.15,$-1.02,0.0
2022-06-30,9.36,$-1.12,0.0
2022-03-31,14.05,$1.66,8.48
2021-12-31,15.34,$4.65,3.3
2021-09-30,17.8,$4.38,4.06
2021-06-30,19.66,$7.71,2.55
2021-03-31,11.54,$8.69,1.33
2020-12-31,7.43,$6.53,1.14
2020-09-30,5.39,$5.93,0.91
2020-06-30,1.37,$2.73,0.5
2020-03-31,0.76,$-0.64,0.0
2019-12-31,2.08,$0.24,8.65
2019-09-30,1.41,$1.57,0.9
2019-06-30,1.29,$1.80,0.72
2019-03-31,2.06,$1.50,1.38
2018-12-31,1.65,$0.43,3.83
2018-09-30,3.26,$-0.96,0.0
2018-06-30,4.73,$-1.04,0.0
2018-03-31,4.43,$-1.26,0.0
2017-12-31,4.53,$-0.97,0.0
2017-09-30,4.47,$-0.12,0.0
2017-06-30,7.48,$1.07,6.96
2017-03-31,8.56,$2.18,3.92
2016-12-31,9.74,$2.73,3.57
2016-09-30,7.59,$2.41,3.14
2016-06-30,5.11,$1.33,3.86
2016-03-31,6.04,$0.42,14.41
2015-12-31,5.38,$0.69,7.82
2015-09-30,5.53,$0.14,40.76
2015-06-30,7.5,$0.57,13.19
2015-03-31,6.96,$0.86,8.13
2014-12-31,7.61,$0.27,28.23
2014-09-30,4.84,$0.10,50.21
2014-06-30,6.28,$-0.47,0.0
2014-03-31,8.14,$-0.77,0.0
2013-12-31,9.99,$0.19,51.87
2013-09-30,8.07,$0.81,9.94
2013-06-30,10.94,$1.30,8.38
2013-03-31,7.74,$1.73,4.48
2012-12-31,6.45,$1.24,5.22
2012-09-30,4.9,$1.39,3.53
2012-06-30,3.67,$0.26,13.89
2012-03-31,3.76,$-0.10,0.0
2011-12-31,4.96,$-0.47,0.0
2011-09-30,2.86,$-0.40,0.0
2011-06-30,3.67,$0.22,16.45
2011-03-31,5.52,$0.07,76.82
2010-12-31,7.02,$0.65,10.79
2010-09-30,6.15,$0.38,16.05
2010-06-30,6.0,$0.80,7.49
2010-03-31,6.92,$1.70,4.07
2009-12-31,7.79,$2.23,3.49
