Senmiao Technology Price to Free Cash Flow Ratio Historical Data,Senmiao Technology Price to Free Cash Flow Ratio Historical Data,Senmiao Technology Price to Free Cash Flow Ratio Historical Data,Senmiao Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.88,,43.14
2024-12-31,1.07,$0.02,52.45
2024-09-30,1.2,$-0.02,0.0
2024-06-30,1.03,$-0.05,0.0
2024-03-31,0.9,$-0.06,0.0
2023-12-31,0.41,$0.02,18.47
2023-09-30,0.47,$-0.03,0.0
2023-06-30,0.53,$0.02,21.72
2023-03-31,0.88,$0.13,7.0
2022-12-31,0.9,$-0.41,0.0
2022-09-30,0.89,$-0.55,0.0
2022-06-30,0.98,$-0.97,0.0
2022-03-31,2.3,$-2.16,0.0
2021-12-31,3.7,$-2.81,0.0
2021-09-30,5.87,$-2.71,0.0
2021-06-30,10.5,$-2.67,0.0
2021-03-31,14.0,$-1.58,0.0
2020-12-31,10.7,$-0.36,0.0
2020-09-30,6.1,$-0.54,0.0
2020-06-30,7.36,$-0.91,0.0
2020-03-31,4.38,$-2.48,0.0
2019-12-31,6.7,$-4.04,0.0
2019-09-30,3.71,$-4.08,0.0
2019-06-30,27.9,$-3.64,0.0
2019-03-31,43.8,$-2.42,0.0
2018-12-31,38.1,$-1.32,0.0
