National Bank Holdings Price to Free Cash Flow Ratio Historical Data,National Bank Holdings Price to Free Cash Flow Ratio Historical Data,National Bank Holdings Price to Free Cash Flow Ratio Historical Data,National Bank Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.31,,12.51
2024-12-31,43.06,$3.14,13.71
2024-09-30,41.85,$3.00,13.97
2024-06-30,38.57,$3.02,12.77
2024-03-31,35.62,$4.72,7.54
2023-12-31,36.44,$3.41,10.67
2023-09-30,28.92,$3.32,8.71
2023-06-30,27.99,$3.86,7.25
2023-03-31,31.98,$3.90,8.19
2022-12-31,39.96,$6.19,6.46
2022-09-30,34.95,$6.43,5.43
2022-06-30,35.97,$5.20,6.91
2022-03-31,37.64,$7.32,5.15
2021-12-31,40.84,$5.94,6.87
2021-09-30,37.45,$6.68,5.61
2021-06-30,34.7,$4.79,7.25
2021-03-31,36.29,$-0.87,0.0
2020-12-31,29.8,$-0.34,0.0
2020-09-30,23.73,$1.14,20.84
2020-06-30,24.24,$0.69,34.96
2020-03-31,21.3,$1.98,10.73
2019-12-31,31.19,$1.05,29.77
2019-09-30,30.11,$-0.60,0.0
2019-06-30,31.79,$3.04,10.45
2019-03-31,28.97,$1.70,17.08
2018-12-31,26.76,$2.14,12.5
2018-09-30,32.64,$1.13,28.89
2018-06-30,33.34,$-0.43,0.0
2018-03-31,28.62,$1.43,19.98
2017-12-31,27.84,$1.90,14.69
2017-09-30,30.56,$0.20,149.93
2017-06-30,28.27,$0.16,180.29
2017-03-31,27.67,$0.46,60.58
2016-12-31,27.09,$-0.11,0.0
2016-09-30,19.8,$0.35,55.86
2016-06-30,17.22,$0.41,41.93
2016-03-31,17.2,$-0.68,0.0
2015-12-31,17.98,$-1.24,0.0
2015-09-30,17.24,$-0.99,0.0
2015-06-30,17.44,$-0.73,0.0
2015-03-31,15.71,$-0.15,0.0
2014-12-31,16.17,$-0.10,0.0
2014-09-30,15.89,$0.54,29.37
2014-06-30,16.53,$-0.18,0.0
2014-03-31,16.59,$-0.60,0.0
2013-12-31,17.65,$-0.64,0.0
2013-09-30,16.9,$-1.36,0.0
2013-06-30,16.17,$-3.81,0.0
