VYNE Therapeutics Price to Free Cash Flow Ratio Historical Data,VYNE Therapeutics Price to Free Cash Flow Ratio Historical Data,VYNE Therapeutics Price to Free Cash Flow Ratio Historical Data,VYNE Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.68,,0.0
2024-12-31,3.35,$-0.80,0.0
2024-09-30,1.88,$3.10,0.61
2024-06-30,1.97,$1.74,1.13
2024-03-31,3.07,$-0.97,0.0
2023-12-31,2.33,$-2.47,0.0
2023-09-30,4.04,$-7.74,0.0
2023-06-30,4.1,$-8.40,0.0
2023-03-31,3.08,$-7.91,0.0
2022-12-31,2.7,$-9.17,0.0
2022-09-30,4.02,$-11.27,0.0
2022-06-30,7.0,$-15.00,0.0
2022-03-31,11.7,$-18.03,0.0
2021-12-31,18.36,$-19.72,0.0
2021-09-30,25.02,$-44.18,0.0
2021-06-30,63.18,$-40.44,0.0
2021-03-31,123.21,$7.70,16.0
2020-12-31,113.76,$-76.12,0.0
2020-09-30,119.52,$-233.44,0.0
2020-06-30,124.56,$-246.45,0.0
2020-03-31,192.96,$-273.54,0.0
2019-12-31,334.08,$-222.58,0.0
2019-09-30,322.56,$-116.20,0.0
2019-06-30,431.28,$-139.12,0.0
2019-03-31,565.2,$-184.19,0.0
2018-12-31,296.64,$-192.54,0.0
