Graphjet Technology Price to Free Cash Flow Ratio Historical Data,Graphjet Technology Price to Free Cash Flow Ratio Historical Data,Graphjet Technology Price to Free Cash Flow Ratio Historical Data,Graphjet Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.1,,0.0
2024-06-30,4.89,$-0.04,0.0
2024-03-31,7.07,$-0.16,0.0
2023-12-31,11.31,$-0.09,0.0
2023-09-30,11.12,$-0.09,0.0
2023-06-30,10.83,$-0.15,0.0
2023-03-31,10.55,$-0.17,0.0
2022-12-31,10.32,$-0.20,0.0
