American Coastal Insurance Price to Free Cash Flow Ratio Historical Data,American Coastal Insurance Price to Free Cash Flow Ratio Historical Data,American Coastal Insurance Price to Free Cash Flow Ratio Historical Data,American Coastal Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.99,,2.43
2024-12-31,13.46,$4.93,2.73
2024-09-30,11.27,$6.01,1.88
2024-06-30,10.55,$7.33,1.44
2024-03-31,10.69,$1.87,5.71
2023-12-31,9.46,$-3.05,0.0
2023-09-30,7.36,$-5.53,0.0
2023-06-30,4.46,$-9.14,0.0
2023-03-31,2.82,$-5.48,0.0
2022-12-31,1.06,$-3.60,0.0
2022-09-30,0.64,$-6.61,0.0
2022-06-30,1.56,$-6.06,0.0
2022-03-31,3.31,$-5.93,0.0
2021-12-31,4.27,$-7.00,0.0
2021-09-30,3.52,$-6.75,0.0
2021-06-30,5.45,$-4.27,0.0
2021-03-31,6.82,$-2.40,0.0
2020-12-31,5.37,$-0.50,0.0
2020-09-30,5.61,$1.64,3.42
2020-06-30,7.2,$1.98,3.63
2020-03-31,8.44,$3.43,2.46
2019-12-31,11.45,$2.97,3.85
2019-09-30,12.64,$2.67,4.74
2019-06-30,12.82,$2.76,4.64
2019-03-31,14.23,$0.76,18.61
2018-12-31,14.82,$0.51,29.28
2018-09-30,19.9,$1.72,11.55
2018-06-30,17.36,$1.30,13.34
2018-03-31,16.92,$0.66,25.82
2017-12-31,15.2,$0.81,18.75
2017-09-30,14.31,$0.77,18.61
2017-06-30,13.76,$1.88,7.33
2017-03-31,13.9,$0.83,16.77
2016-12-31,13.15,$2.90,4.54
2016-09-30,14.68,$4.59,3.2
2016-06-30,14.11,$4.13,3.42
2016-03-31,16.49,$5.14,3.21
2015-12-31,14.64,$4.07,3.59
2015-09-30,11.23,$3.86,2.91
2015-06-30,13.22,$3.14,4.21
2015-03-31,19.08,$2.96,6.44
2014-12-31,18.57,$3.12,5.95
2014-09-30,12.67,$4.57,2.77
2014-06-30,14.54,$4.57,3.18
2014-03-31,12.27,$5.60,2.19
2013-12-31,11.8,$6.67,1.77
2013-09-30,7.38,$3.15,2.34
2013-06-30,5.82,$2.49,2.33
2013-03-31,4.75,$3.44,1.38
2012-12-31,4.95,$3.29,1.51
2012-09-30,4.92,$3.41,1.44
2012-06-30,4.3,$4.11,1.05
2012-03-31,4.88,$4.12,1.19
2011-12-31,3.58,$3.70,0.97
2011-09-30,3.42,$3.70,0.92
2011-06-30,3.42,$1.71,2.0
2011-03-31,2.45,$0.06,37.84
2010-12-31,2.49,$-0.79,0.0
2010-09-30,1.65,$-1.78,0.0
2010-06-30,2.37,$-0.83,0.0
2010-03-31,2.81,$-0.38,0.0
2009-12-31,3.01,$0.58,5.19
