LAVA Therapeutics Price to Free Cash Flow Ratio Historical Data,LAVA Therapeutics Price to Free Cash Flow Ratio Historical Data,LAVA Therapeutics Price to Free Cash Flow Ratio Historical Data,LAVA Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.3,,0.0
2024-09-30,1.66,$-1.05,0.0
2024-06-30,1.8,$-0.99,0.0
2024-03-31,3.33,$-1.19,0.0
2023-12-31,1.58,$-1.49,0.0
2023-09-30,1.47,$0.23,6.34
2023-06-30,2.03,$-0.02,0.0
2023-03-31,1.66,$0.11,15.7
2022-12-31,3.5,$0.13,26.26
2022-09-30,4.57,$-1.85,0.0
2022-06-30,2.95,$-1.66,0.0
2022-03-31,4.4,$1.07,4.11
2021-12-31,5.5,$-1.49,0.0
