PERMIANVILLE ROYALTY TRUST Price to Free Cash Flow Ratio Historical Data,PERMIANVILLE ROYALTY TRUST Price to Free Cash Flow Ratio Historical Data,PERMIANVILLE ROYALTY TRUST Price to Free Cash Flow Ratio Historical Data,PERMIANVILLE ROYALTY TRUST Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.56,,inf
2024-12-31,1.36,0.0,0.0
2024-09-30,1.59,0.0,0.0
2024-06-30,0.99,0.0,0.0
2024-03-31,1.3,0.0,0.0
2023-12-31,1.38,0.0,0.0
2023-09-30,2.34,0.0,0.0
2023-06-30,2.27,0.0,0.0
2023-03-31,2.13,0.0,0.0
2022-12-31,2.97,0.0,0.0
2022-09-30,2.9,0.0,0.0
2022-06-30,2.85,0.0,0.0
2022-03-31,2.11,0.0,0.0
2021-12-31,1.76,0.0,0.0
2021-09-30,1.56,0.0,0.0
2021-06-30,1.58,0.0,0.0
2021-03-31,1.2,0.0,0.0
2020-12-31,0.59,0.0,0.0
2020-09-30,0.56,0.0,0.0
2020-06-30,0.97,0.0,0.0
2020-03-31,0.83,0.0,0.0
2019-12-31,1.38,0.0,0.0
2019-09-30,1.94,0.0,0.0
2019-06-30,1.95,0.0,0.0
