Xos Price to Free Cash Flow Ratio Historical Data,Xos Price to Free Cash Flow Ratio Historical Data,Xos Price to Free Cash Flow Ratio Historical Data,Xos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.71,,0.0
2024-09-30,4.55,$-6.81,0.0
2024-06-30,6.91,$-6.70,0.0
2024-03-31,10.24,$-6.65,0.0
2023-12-31,7.98,$-7.03,0.0
2023-09-30,0.34,$-10.96,0.0
2023-06-30,0.22,$-14.34,0.0
2023-03-31,0.53,$-20.90,0.0
2022-12-31,0.44,$-24.44,0.0
2022-09-30,1.2,$-31.77,0.0
2022-06-30,1.84,$-33.10,0.0
2022-03-31,2.99,$-28.72,0.0
2021-12-31,3.15,$-26.14,0.0
2021-09-30,4.63,$-14.63,0.0
