Zhihu Price to Free Cash Flow Ratio Historical Data,Zhihu Price to Free Cash Flow Ratio Historical Data,Zhihu Price to Free Cash Flow Ratio Historical Data,Zhihu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.47,,0.0
2024-09-30,3.85,$-0.60,0.0
2024-06-30,2.73,$-1.10,0.0
2024-03-31,0.68,$-0.60,0.0
2023-12-31,0.94,$-0.60,0.0
2023-09-30,1.04,$-1.59,0.0
2023-06-30,1.13,$-1.67,0.0
2023-03-31,1.27,$-1.59,0.0
2022-12-31,1.3,$-1.59,0.0
2022-09-30,1.06,$-0.88,0.0
2022-06-30,1.79,$-0.88,0.0
2022-03-31,2.42,$-0.88,0.0
2021-12-31,5.54,$-0.88,0.0
