OneWater Marine Price to Free Cash Flow Ratio Historical Data,OneWater Marine Price to Free Cash Flow Ratio Historical Data,OneWater Marine Price to Free Cash Flow Ratio Historical Data,OneWater Marine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.54,,2.98
2024-12-31,17.38,$5.88,2.96
2024-09-30,23.91,$0.66,36.03
2024-06-30,27.57,$-1.13,0.0
2024-03-31,28.15,$-5.08,0.0
2023-12-31,33.79,$-8.50,0.0
2023-09-30,25.62,$-10.50,0.0
2023-06-30,36.24,$-14.02,0.0
2023-03-31,27.97,$-9.00,0.0
2022-12-31,28.6,$-8.25,0.0
2022-09-30,30.11,$-0.25,0.0
2022-06-30,33.05,$3.84,8.62
2022-03-31,34.45,$7.29,4.72
2021-12-31,60.97,$14.09,4.33
2021-09-30,40.21,$13.18,3.05
2021-06-30,42.03,$21.24,1.98
2021-03-31,38.27,$43.37,0.88
2020-12-31,27.86,$30.24,0.92
