MaxCyte Price to Free Cash Flow Ratio Historical Data,MaxCyte Price to Free Cash Flow Ratio Historical Data,MaxCyte Price to Free Cash Flow Ratio Historical Data,MaxCyte Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.07,,0.0
2024-12-31,4.16,$-0.28,0.0
2024-09-30,3.89,$-0.20,0.0
2024-06-30,3.92,$-0.24,0.0
2024-03-31,4.19,$-0.30,0.0
2023-12-31,4.7,$-0.25,0.0
2023-09-30,3.12,$-3.01,0.0
2023-06-30,4.59,$-3.01,0.0
2023-03-31,4.95,$-2.97,0.0
2022-12-31,5.46,$-3.01,0.0
2022-09-30,6.5,$-3.20,0.0
2022-06-30,4.73,$-3.24,0.0
