AuthID Price to Free Cash Flow Ratio Historical Data,AuthID Price to Free Cash Flow Ratio Historical Data,AuthID Price to Free Cash Flow Ratio Historical Data,AuthID Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.28,,0.0
2024-12-31,6.02,$-1.14,0.0
2024-09-30,6.29,$-1.35,0.0
2024-06-30,10.38,$-1.14,0.0
2024-03-31,7.63,$-0.99,0.0
2023-12-31,9.46,$-1.36,0.0
2023-09-30,7.75,$-1.89,0.0
2023-06-30,0.89,$-2.90,0.0
2023-03-31,0.45,$-3.81,0.0
2022-12-31,0.58,$-4.18,0.0
2022-09-30,2.89,$-4.38,0.0
2022-06-30,1.94,$-5.43,0.0
