Upland Software Price to Free Cash Flow Ratio Historical Data,Upland Software Price to Free Cash Flow Ratio Historical Data,Upland Software Price to Free Cash Flow Ratio Historical Data,Upland Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.34,,3.97
2024-12-31,4.34,$0.84,5.16
2024-09-30,2.49,$0.81,3.06
2024-06-30,2.49,$1.20,2.07
2024-03-31,3.09,$1.21,2.56
2023-12-31,4.23,$1.52,2.78
2023-09-30,4.62,$1.42,3.27
2023-06-30,3.6,$0.91,3.95
2023-03-31,4.3,$1.15,3.74
2022-12-31,7.13,$0.92,7.72
2022-09-30,8.13,$1.17,6.94
2022-06-30,14.52,$1.28,11.32
2022-03-31,17.61,$1.19,14.78
2021-12-31,17.94,$1.34,13.38
2021-09-30,33.44,$1.72,19.49
2021-06-30,41.17,$2.26,18.21
2021-03-31,47.19,$1.93,24.47
2020-12-31,45.89,$1.30,35.42
2020-09-30,37.7,$0.79,47.68
2020-06-30,34.76,$0.05,731.79
2020-03-31,26.82,$0.02,1186.73
2019-12-31,35.71,$0.48,74.75
2019-09-30,34.86,$0.29,120.08
2019-06-30,45.53,$0.38,119.41
2019-03-31,42.36,$0.60,71.01
2018-12-31,27.18,$0.32,84.73
2018-09-30,32.31,$0.33,98.63
2018-06-30,34.37,$0.26,133.37
2018-03-31,28.79,$0.08,350.24
2017-12-31,21.66,$0.40,54.48
2017-09-30,21.16,$0.46,46.35
2017-06-30,21.99,$0.49,44.82
2017-03-31,15.89,$0.52,30.79
2016-12-31,8.95,$0.19,45.99
2016-09-30,8.81,$-0.23,0.0
2016-06-30,7.62,$-0.20,0.0
2016-03-31,6.87,$-0.18,0.0
2015-12-31,7.05,$-0.16,0.0
2015-09-30,7.9,$0.15,54.26
