Taseko Mines Price to Free Cash Flow Ratio Historical Data,Taseko Mines Price to Free Cash Flow Ratio Historical Data,Taseko Mines Price to Free Cash Flow Ratio Historical Data,Taseko Mines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.48,,7.87
2024-09-30,2.52,$0.32,7.99
2024-06-30,2.45,$0.23,10.46
2024-03-31,2.17,$0.17,12.62
2023-12-31,1.4,$0.08,16.59
2023-09-30,1.27,$-0.01,0.0
2023-06-30,1.43,$-0.06,0.0
2023-03-31,1.66,$-0.08,0.0
2022-12-31,1.47,$0.00,0.0
2022-09-30,1.14,$0.09,12.36
2022-06-30,1.08,$0.24,4.43
2022-03-31,2.29,$0.35,6.45
2021-12-31,2.05,$0.24,8.49
2021-09-30,1.89,$0.20,9.55
2021-06-30,2.12,$0.11,18.69
2021-03-31,1.72,$0.10,17.53
2020-12-31,1.32,$0.12,10.88
2020-09-30,1.06,$0.10,10.6
2020-06-30,0.5,$0.05,10.81
2020-03-31,0.27,$-0.01,0.0
2019-12-31,0.48,$-0.03,0.0
2019-09-30,0.42,$0.05,8.53
2019-06-30,0.53,$0.05,11.75
2019-03-31,0.59,$0.02,25.21
2018-12-31,0.47,$-0.00,0.0
2018-09-30,0.8,$-0.07,0.0
2018-06-30,1.08,$-0.01,0.0
2018-03-31,1.15,$0.12,9.75
2017-12-31,2.33,$0.38,6.16
2017-09-30,1.85,$0.52,3.53
2017-06-30,1.27,$0.43,2.93
2017-03-31,1.32,$0.28,4.64
2016-12-31,0.85,$0.05,16.68
2016-09-30,0.48,$-0.11,0.0
2016-06-30,0.49,$-0.03,0.0
2016-03-31,0.56,$0.12,4.58
2015-12-31,0.34,$0.11,3.11
2015-09-30,0.4,$0.02,20.75
2015-06-30,0.55,$0.06,9.73
2015-03-31,0.64,$-0.07,0.0
2014-12-31,1.03,$0.05,19.62
2014-09-30,1.7,$0.26,6.54
2014-06-30,2.5,$0.21,11.71
2014-03-31,1.97,$0.25,7.82
2013-12-31,2.12,$-0.15,0.0
2013-09-30,2.04,$-0.60,0.0
2013-06-30,1.88,$-0.74,0.0
2013-03-31,2.77,$-1.05,0.0
2012-12-31,3.0,$-0.68,0.0
2012-09-30,3.34,$-0.44,0.0
2012-06-30,2.66,$-0.40,0.0
2012-03-31,3.52,$-0.16,0.0
2011-12-31,2.73,$-0.26,0.0
2011-09-30,2.55,$-0.06,0.0
2011-06-30,4.96,$0.06,77.38
2011-03-31,5.93,$0.03,217.22
2010-12-31,5.25,$0.19,28.35
2010-09-30,5.2,$0.23,22.38
2010-06-30,4.28,$0.20,20.94
2010-03-31,5.18,$0.19,27.41
2009-12-31,4.22,$0.00,0.0
