Genie Energy Price to Free Cash Flow Ratio Historical Data,Genie Energy Price to Free Cash Flow Ratio Historical Data,Genie Energy Price to Free Cash Flow Ratio Historical Data,Genie Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.79,,6.54
2024-12-31,15.59,$2.26,6.89
2024-09-30,16.17,$2.10,7.72
2024-06-30,14.48,$2.43,5.96
2024-03-31,14.87,$2.01,7.39
2023-12-31,27.62,$2.05,13.47
2023-09-30,14.42,$2.90,4.96
2023-06-30,13.77,$2.71,5.07
2023-03-31,13.39,$2.74,4.89
2022-12-31,9.96,$3.02,3.3
2022-09-30,8.94,$4.58,1.95
2022-06-30,8.69,$3.88,2.24
2022-03-31,6.34,$3.68,1.72
2021-12-31,5.17,$2.59,1.99
2021-09-30,6.06,$0.06,104.82
2021-06-30,5.86,$0.22,26.14
2021-03-31,5.88,$0.67,8.73
2020-12-31,6.69,$0.96,7.0
2020-09-30,7.35,$0.89,8.25
2020-06-30,6.7,$0.93,7.2
2020-03-31,6.46,$0.21,30.59
2019-12-31,6.88,$0.56,12.31
2019-09-30,6.58,$0.55,11.93
2019-06-30,9.29,$0.39,23.92
2019-03-31,7.36,$0.64,11.58
2018-12-31,5.17,$0.73,7.05
2018-09-30,4.58,$1.00,4.58
2018-06-30,4.15,$0.91,4.54
2018-03-31,4.11,$0.27,15.05
2017-12-31,3.54,$0.02,149.34
2017-09-30,5.25,$-0.06,0.0
2017-06-30,6.03,$-0.34,0.0
2017-03-31,5.67,$0.14,39.25
2016-12-31,4.45,$0.09,48.12
2016-09-30,4.52,$-0.70,0.0
2016-06-30,5.14,$-0.69,0.0
2016-03-31,5.73,$-0.70,0.0
2015-12-31,8.4,$-1.37,0.0
2015-09-30,6.2,$-1.27,0.0
2015-06-30,7.89,$-1.26,0.0
2015-03-31,5.96,$-0.19,0.0
2014-12-31,4.59,$-0.97,0.0
2014-09-30,5.22,$-0.35,0.0
2014-06-30,5.85,$-0.39,0.0
2014-03-31,7.41,$-1.32,0.0
2013-12-31,7.59,$0.05,164.6
2013-09-30,7.28,$-0.15,0.0
2013-06-30,6.8,$-0.07,0.0
2013-03-31,6.88,$-0.19,0.0
2012-12-31,5.28,$-0.05,0.0
2012-09-30,5.33,$0.09,56.57
2012-06-30,5.74,$0.09,67.0
