Wingstop Price to Free Cash Flow Ratio Historical Data,Wingstop Price to Free Cash Flow Ratio Historical Data,Wingstop Price to Free Cash Flow Ratio Historical Data,Wingstop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,220.19,,58.99
2024-12-31,284.2,$3.73,76.14
2024-09-30,415.73,$4.75,87.59
2024-06-30,422.01,$3.70,114.02
2024-03-31,365.63,$2.81,130.23
2023-12-31,255.89,$2.72,94.21
2023-09-30,179.18,$2.46,72.72
2023-06-30,199.16,$2.23,89.34
2023-03-31,182.49,$2.41,75.81
2022-12-31,136.65,$1.88,72.65
2022-09-30,124.39,$0.72,172.33
2022-06-30,74.05,$0.84,88.41
2022-03-31,115.95,$1.09,106.46
2021-12-31,164.65,$0.94,175.68
2021-09-30,156.04,$2.05,76.27
2021-06-30,149.9,$2.09,71.68
2021-03-31,120.8,$2.16,56.0
2020-12-31,125.77,$2.16,58.31
2020-09-30,124.69,$1.89,65.89
2020-06-30,126.7,$1.08,116.81
2020-03-31,72.6,$0.61,119.71
2019-12-31,78.44,$0.54,144.59
2019-09-30,79.29,$0.49,161.55
2019-06-30,85.98,$0.93,92.36
2019-03-31,68.93,$1.17,58.82
2018-12-31,58.19,$1.18,49.49
2018-09-30,58.94,$1.17,50.37
2018-06-30,44.94,$1.08,41.58
2018-03-31,40.67,$0.92,44.42
2017-12-31,31.26,$0.85,36.94
2017-09-30,26.62,$0.79,33.54
2017-06-30,24.68,$0.69,35.9
2017-03-31,22.59,$0.66,34.24
2016-12-31,23.63,$0.68,34.55
2016-09-30,23.4,$0.71,33.12
2016-06-30,19.56,$0.72,27.1
2016-03-31,16.28,$0.69,23.57
