Dermata Therapeutics Price to Free Cash Flow Ratio Historical Data,Dermata Therapeutics Price to Free Cash Flow Ratio Historical Data,Dermata Therapeutics Price to Free Cash Flow Ratio Historical Data,Dermata Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.18,,0.0
2024-09-30,1.64,$-13.41,0.0
2024-06-30,2.39,$-20.64,0.0
2024-03-31,0.41,$-13.86,0.0
2023-12-31,0.61,$-32.86,0.0
2023-09-30,1.06,$-79.57,0.0
2023-06-30,1.65,$-115.82,0.0
2023-03-31,1.29,$-141.74,0.0
2022-12-31,0.41,$-191.77,0.0
2022-09-30,0.52,$-267.06,0.0
2022-06-30,0.65,$-412.76,0.0
