Electro-Sensors Price to Free Cash Flow Ratio Historical Data,Electro-Sensors Price to Free Cash Flow Ratio Historical Data,Electro-Sensors Price to Free Cash Flow Ratio Historical Data,Electro-Sensors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.53,,199.56
2024-12-31,5.17,$0.02,227.67
2024-09-30,4.0,$0.11,36.83
2024-06-30,3.95,$0.09,42.75
2024-03-31,4.17,$0.17,25.26
2023-12-31,3.8,$0.07,51.91
2023-09-30,3.91,$0.08,49.92
2023-06-30,4.44,$0.01,0.0
2023-03-31,4.67,$-0.06,0.0
2022-12-31,4.52,$-0.06,0.0
2022-09-30,5.06,$-0.04,0.0
2022-06-30,6.04,$-0.04,0.0
2022-03-31,5.12,$0.16,31.33
2021-12-31,6.28,$0.18,34.47
2021-09-30,5.03,$0.16,30.82
2021-06-30,4.89,$0.16,31.47
2021-03-31,4.8,$0.06,83.62
2020-12-31,4.81,$0.09,53.39
2020-09-30,3.46,$0.06,59.69
2020-06-30,3.48,$0.11,30.63
2020-03-31,2.98,$0.08,37.82
2019-12-31,3.63,$0.01,275.0
2019-09-30,3.85,$0.08,46.61
2019-06-30,3.32,$0.03,121.17
2019-03-31,3.43,$0.05,64.6
2018-12-31,3.4,$0.03,117.65
2018-09-30,3.7,$-0.00,0.0
2018-06-30,4.03,$0.06,62.58
2018-03-31,4.12,$0.09,47.03
2017-12-31,4.05,$0.10,38.9
2017-09-30,3.52,$0.10,35.2
2017-06-30,3.61,$0.07,51.72
2017-03-31,3.98,$0.02,180.09
2016-12-31,3.46,$0.06,62.45
2016-09-30,3.51,$0.00,0.0
2016-06-30,3.16,$-0.03,0.0
2016-03-31,3.42,$-0.08,0.0
2015-12-31,3.58,$-0.11,0.0
2015-09-30,3.7,$-0.03,0.0
2015-06-30,4.1,$-0.05,0.0
2015-03-31,4.0,$-0.03,0.0
2014-12-31,3.91,$0.06,65.84
2014-09-30,3.74,$0.07,51.23
2014-06-30,4.25,$0.14,31.18
2014-03-31,3.96,$0.14,28.86
2013-12-31,4.01,$0.03,135.02
2013-09-30,4.07,$-0.05,0.0
2013-06-30,4.12,$-0.05,0.0
2013-03-31,4.22,$0.01,293.19
2012-12-31,3.7,$0.16,23.54
2012-09-30,3.98,$0.18,22.41
2012-06-30,3.92,$0.14,27.7
2012-03-31,3.82,$0.11,35.98
2011-12-31,3.7,$0.06,57.32
2011-09-30,3.32,$0.07,44.8
2011-06-30,4.21,$0.09,49.28
2011-03-31,4.08,$0.14,28.84
2010-12-31,4.06,$0.16,24.8
2010-09-30,3.61,$0.21,16.85
2010-06-30,3.52,$0.27,13.21
2010-03-31,3.35,$0.23,14.28
2009-12-31,3.25,$0.20,16.32
