Opus Genetics Price to Free Cash Flow Ratio Historical Data,Opus Genetics Price to Free Cash Flow Ratio Historical Data,Opus Genetics Price to Free Cash Flow Ratio Historical Data,Opus Genetics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.15,,0.0
2024-09-30,1.31,$-0.49,0.0
2024-06-30,1.53,$-0.43,0.0
2024-03-31,2.01,$-0.11,0.0
2023-12-31,3.01,$-0.05,0.0
2023-09-30,3.35,$1.15,2.92
2023-06-30,4.34,$1.08,4.02
2023-03-31,3.75,$0.85,4.42
2022-12-31,3.53,$0.70,5.08
2022-09-30,2.01,$-1.21,0.0
2022-06-30,1.92,$-1.08,0.0
2022-03-31,3.24,$-1.11,0.0
2021-12-31,3.73,$-1.31,0.0
2021-09-30,5.15,$-1.93,0.0
2021-06-30,5.28,$-2.15,0.0
2021-03-31,5.81,$-2.10,0.0
2020-12-31,6.49,$-1.77,0.0
2020-09-30,8.32,$6.61,1.26
2020-06-30,11.36,$4.53,2.51
2020-03-31,7.2,$3.17,2.27
2019-12-31,7.64,$-1.27,0.0
2019-09-30,8.2,$-14.52,0.0
2019-06-30,20.64,$-18.51,0.0
2019-03-31,24.48,$-23.73,0.0
2018-12-31,44.64,$-27.57,0.0
2018-09-30,85.44,$-28.95,0.0
2018-06-30,67.68,$-28.32,0.0
2018-03-31,72.48,$-27.25,0.0
2017-12-31,96.96,$-27.16,0.0
2017-09-30,116.16,$-22.98,0.0
2017-06-30,137.28,$-23.89,0.0
2017-03-31,244.8,$-29.20,0.0
2016-12-31,68.11,$-29.23,0.0
2016-09-30,100.8,$-37.36,0.0
2016-06-30,120.58,$-42.69,0.0
2016-03-31,158.45,$-43.42,0.0
2015-12-31,174.24,$-45.85,0.0
2015-09-30,249.6,$-42.77,0.0
2015-06-30,291.7,$-37.82,0.0
2015-03-31,350.4,$-33.78,0.0
2014-12-31,336.0,$-30.22,0.0
2014-09-30,388.8,$-30.69,0.0
2014-06-30,417.6,$-28.67,0.0
2014-03-31,518.4,$-31.03,0.0
2013-12-31,244.8,$-29.99,0.0
2013-09-30,218.35,$-26.07,0.0
2013-06-30,213.12,$-29.40,0.0
2013-03-31,146.4,$-29.31,0.0
2012-12-31,148.8,$-32.72,0.0
2012-09-30,242.4,$-54.43,0.0
2012-06-30,153.6,$-62.07,0.0
2012-03-31,254.4,$-76.38,0.0
2011-12-31,180.48,$-80.23,0.0
2011-09-30,480.0,$-69.99,0.0
2011-06-30,595.2,$-61.18,0.0
2011-03-31,566.4,$-49.21,0.0
2010-12-31,537.6,$-42.68,0.0
2010-09-30,556.8,$-37.09,0.0
2010-06-30,686.4,$-39.75,0.0
2010-03-31,777.6,$-38.12,0.0
2009-12-31,326.4,$-40.37,0.0
