D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,131.13,,15.09
2024-12-31,139.82,$8.69,16.09
2024-09-30,190.3,$6.16,30.87
2024-06-30,140.35,$6.30,22.28
2024-03-31,163.53,$6.62,24.71
2023-12-31,150.72,$9.43,15.98
2023-09-30,106.33,$12.26,8.68
2023-06-30,120.16,$9.35,12.85
2023-03-31,96.24,$7.75,12.41
2022-12-31,87.6,$3.99,21.96
2022-09-30,65.99,$1.17,56.61
2022-06-30,64.66,$-0.47,0.0
2022-03-31,72.56,$-0.82,0.0
2021-12-31,105.33,$1.14,92.73
2021-09-30,81.37,$0.83,97.72
2021-06-30,87.39,$1.47,59.64
2021-03-31,86.02,$3.67,23.41
2020-12-31,66.35,$2.90,22.9
2020-09-30,72.61,$3.42,21.26
2020-06-30,53.1,$3.34,15.9
2020-03-31,32.45,$2.26,14.35
2019-12-31,50.19,$2.83,17.71
2019-09-30,50.0,$2.15,23.24
2019-06-30,40.78,$0.80,51.05
2019-03-31,38.99,$0.37,105.96
2018-12-31,32.53,$1.03,31.45
2018-09-30,39.42,$1.83,21.6
2018-06-30,38.21,$2.70,14.14
2018-03-31,40.74,$1.45,28.03
2017-12-31,47.33,$0.63,74.7
2017-09-30,36.91,$0.75,49.44
2017-06-30,31.87,$0.61,52.32
2017-03-31,30.62,$0.96,31.89
2016-12-31,25.03,$1.36,18.43
2016-09-30,27.57,$1.43,19.23
2016-06-30,28.67,$1.56,18.33
2016-03-31,27.45,$2.38,11.54
2015-12-31,29.0,$2.22,13.08
2015-09-30,26.51,$1.89,14.0
2015-06-30,24.65,$0.01,2370.59
2015-03-31,25.6,$-1.78,0.0
2014-12-31,22.68,$-2.39,0.0
2014-09-30,18.36,$-2.08,0.0
2014-06-30,21.92,$-2.00,0.0
2014-03-31,19.28,$-1.97,0.0
2013-12-31,19.84,$-1.76,0.0
2013-09-30,17.27,$-3.53,0.0
2013-06-30,18.91,$-3.58,0.0
2013-03-31,21.6,$-3.01,0.0
2012-12-31,17.58,$-2.74,0.0
2012-09-30,18.15,$-0.91,0.0
2012-06-30,16.14,$-0.27,0.0
2012-03-31,13.29,$-0.17,0.0
2011-12-31,11.02,$-0.15,0.0
2011-09-30,7.88,$0.01,0.0
2011-06-30,10.0,$0.10,100.78
2011-03-31,10.08,$0.76,13.3
2010-12-31,10.29,$1.70,6.06
2010-09-30,9.56,$2.17,4.41
2010-06-30,8.42,$1.91,4.4
2010-03-31,10.76,$1.83,5.89
2009-12-31,9.26,$4.19,2.21
