CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.92,,7.92
2024-12-31,85.32,$9.72,8.78
2024-09-30,85.31,$10.03,8.51
2024-06-30,73.24,$8.02,9.13
2024-03-31,81.67,$9.04,9.03
2023-12-31,77.53,$11.66,6.65
2023-09-30,83.2,$12.17,6.84
2023-06-30,67.02,$14.04,4.78
2023-03-31,69.57,$14.79,4.7
2022-12-31,81.38,$16.67,4.88
2022-09-30,91.6,$20.91,4.38
2022-06-30,81.27,$18.79,4.32
2022-03-31,97.33,$14.90,6.53
2021-12-31,66.56,$10.92,6.1
2021-09-30,52.25,$5.55,9.41
2021-06-30,47.86,$3.93,12.19
2021-03-31,41.99,$5.60,7.49
2020-12-31,35.57,$4.29,8.29
2020-09-30,27.95,$4.30,6.5
2020-06-30,25.39,$5.37,4.73
2020-03-31,24.25,$5.29,4.58
2019-12-31,42.24,$5.28,7.99
2019-09-30,43.25,$4.95,8.73
2019-06-30,41.06,$5.42,7.58
2019-03-31,35.68,$4.79,7.45
2018-12-31,37.71,$4.71,8.01
2018-09-30,46.87,$4.40,10.65
2018-06-30,37.99,$2.69,14.1
2018-03-31,32.04,$4.82,6.64
2017-12-31,35.87,$5.04,7.12
2017-09-30,29.4,$3.28,8.97
2017-06-30,23.15,$1.55,14.95
2017-03-31,24.03,$-4.22,0.0
2016-12-31,25.56,$-6.78,0.0
2016-09-30,19.55,$-7.50,0.0
2016-06-30,19.09,$-7.06,0.0
2016-03-31,24.58,$-7.07,0.0
2015-12-31,31.66,$-5.29,0.0
2015-09-30,34.62,$-4.15,0.0
2015-06-30,49.32,$-3.21,0.0
2015-03-31,43.32,$-2.41,0.0
2014-12-31,41.41,$-1.47,0.0
2014-09-30,42.19,$-0.94,0.0
2014-06-30,36.12,$1.15,31.45
2014-03-31,38.99,$1.84,21.22
2013-12-31,34.71,$2.21,15.67
2013-09-30,31.26,$3.22,9.71
2013-06-30,25.37,$3.61,7.04
2013-03-31,28.1,$5.83,4.82
2012-12-31,29.94,$5.78,5.18
2012-09-30,32.68,$5.50,5.94
2012-06-30,28.44,$5.75,4.94
2012-03-31,26.75,$5.20,5.14
2011-12-31,21.18,$5.39,3.93
2011-09-30,17.99,$6.90,2.61
2011-06-30,20.6,$5.45,3.78
2011-03-31,19.88,$4.63,4.29
2010-12-31,19.62,$2.91,6.73
2010-09-30,13.86,$1.51,9.17
2010-06-30,9.19,$0.22,41.38
2010-03-31,13.19,$1.04,12.65
2009-12-31,13.12,$1.85,7.09
