Mizuho Financial Price to Free Cash Flow Ratio Historical Data,Mizuho Financial Price to Free Cash Flow Ratio Historical Data,Mizuho Financial Price to Free Cash Flow Ratio Historical Data,Mizuho Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.89,,inf
2024-06-30,4.14,0,0.0
2023-06-30,2.95,0,0.0
2022-06-30,2.05,0,0.0
2021-06-30,2.49,0,0.0
2020-06-30,2.05,0,0.0
2019-06-30,2.28,0,0.0
2018-06-30,2.57,0,0.0
2017-06-30,2.68,$4.65,0.58
2016-06-30,2.01,$5.42,0.37
2015-06-30,2.94,$4.65,0.63
2015-03-31,2.41,$4.65,0.52
2014-12-31,2.3,$4.45,0.52
2014-09-30,2.42,$3.68,0.66
2014-06-30,2.79,$4.45,0.63
2014-03-31,2.7,$4.45,0.61
2013-12-31,2.96,$-1.44,0.0
2013-09-30,2.93,$-1.44,0.0
2013-06-30,2.77,$-1.44,0.0
2013-03-31,2.86,$-1.44,0.0
2012-12-31,2.42,$-1.99,0.0
2012-09-30,2.14,$-1.99,0.0
2012-06-30,2.16,$-1.99,0.0
2012-03-31,2.09,$-1.99,0.0
2011-12-31,1.7,$7.09,0.24
2011-09-30,1.81,$7.09,0.26
2011-06-30,2.03,$7.09,0.29
2011-03-31,2.06,$7.09,0.29
2010-12-31,2.24,$18.27,0.12
2010-09-30,1.71,$18.27,0.09
2010-06-30,1.94,$18.27,0.11
2010-03-31,2.35,$18.27,0.13
2009-12-31,2.04,0,0.0
