Paymentus Holdings Price to Free Cash Flow Ratio Historical Data,Paymentus Holdings Price to Free Cash Flow Ratio Historical Data,Paymentus Holdings Price to Free Cash Flow Ratio Historical Data,Paymentus Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.37,,129.16
2024-12-31,32.67,$0.21,154.18
2024-09-30,20.02,$0.19,104.22
2024-06-30,19.0,$0.24,78.51
2024-03-31,22.75,$0.32,71.79
2023-12-31,17.87,$0.28,64.72
2023-09-30,16.6,$0.21,80.94
2023-06-30,10.56,$0.09,116.04
2023-03-31,8.86,$-0.09,0.0
2022-12-31,8.01,$-0.09,0.0
2022-09-30,9.72,$-0.20,0.0
2022-06-30,13.37,$-0.11,0.0
2022-03-31,21.08,$-0.04,0.0
