BigCommerce Holdings Price to Free Cash Flow Ratio Historical Data,BigCommerce Holdings Price to Free Cash Flow Ratio Historical Data,BigCommerce Holdings Price to Free Cash Flow Ratio Historical Data,BigCommerce Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.97,,20.56
2024-12-31,6.12,$0.29,21.07
2024-09-30,5.85,$0.30,19.38
2024-06-30,8.06,$-0.19,0.0
2024-03-31,6.89,$-0.14,0.0
2023-12-31,9.73,$-0.38,0.0
2023-09-30,9.87,$-0.59,0.0
2023-06-30,9.95,$-0.86,0.0
2023-03-31,8.94,$-1.26,0.0
2022-12-31,8.74,$-1.29,0.0
2022-09-30,14.8,$-1.38,0.0
2022-06-30,16.2,$-0.88,0.0
2022-03-31,21.91,$-0.75,0.0
2021-12-31,35.37,$-0.61,0.0
2021-09-30,50.64,$-0.70,0.0
2021-06-30,64.92,$-1.00,0.0
