Bit Origin Price to Free Cash Flow Ratio Historical Data,Bit Origin Price to Free Cash Flow Ratio Historical Data,Bit Origin Price to Free Cash Flow Ratio Historical Data,Bit Origin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.3,,inf
2024-06-30,2.88,0.0,0.0
2023-06-30,2.04,0.0,0.0
2022-12-31,5.28,0.0,0.0
2022-06-30,13.05,0.0,0.0
2021-12-31,41.1,0.0,0.0
2021-06-30,47.1,0.0,0.0
