ISpecimen Price to Free Cash Flow Ratio Historical Data,ISpecimen Price to Free Cash Flow Ratio Historical Data,ISpecimen Price to Free Cash Flow Ratio Historical Data,ISpecimen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.37,,0.0
2024-09-30,4.7,$-7.59,0.0
2024-06-30,0.31,$-12.32,0.0
2024-03-31,0.23,$-16.65,0.0
2023-12-31,0.5,$-21.22,0.0
2023-09-30,0.62,$-25.60,0.0
2023-06-30,1.43,$-27.09,0.0
2023-03-31,1.34,$-26.20,0.0
2022-12-31,1.38,$-20.37,0.0
2022-09-30,1.65,$-41.77,0.0
2022-06-30,2.18,$-17.93,0.0
2022-03-31,5.37,$-58.53,0.0
