Baosheng Medias Price to Free Cash Flow Ratio Historical Data,Baosheng Medias Price to Free Cash Flow Ratio Historical Data,Baosheng Medias Price to Free Cash Flow Ratio Historical Data,Baosheng Medias Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.33,,inf
2023-12-31,3.61,0.0,0.0
2023-06-30,7.85,0.0,0.0
2022-12-31,0.86,0.0,0.0
