Credicorp Price to Free Cash Flow Ratio Historical Data,Credicorp Price to Free Cash Flow Ratio Historical Data,Credicorp Price to Free Cash Flow Ratio Historical Data,Credicorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,194.28,,15.19
2024-09-30,180.97,$12.79,14.15
2024-06-30,158.7,$12.79,12.41
2024-03-31,157.73,$12.79,12.33
2023-12-31,139.58,$12.79,10.91
2023-09-30,119.13,0,0.0
2023-06-30,137.45,$-12.53,0.0
2023-03-31,117.1,0,0.0
2022-09-30,108.61,0,0.0
2022-06-30,106.06,0,0.0
2021-12-31,104.83,$12.53,8.36
2021-09-30,95.27,$45.32,2.1
2021-06-30,102.84,$45.32,2.27
2021-03-31,115.96,$33.19,3.49
2020-12-31,139.27,$45.32,3.07
2020-09-30,105.28,$25.70,4.1
2020-06-30,113.5,$25.70,4.42
2020-03-31,114.08,$37.83,3.02
2019-12-31,169.94,$25.70,6.61
2019-09-30,164.33,$-0.80,0.0
2019-06-30,180.47,$-0.80,0.0
2019-03-31,189.17,$-0.80,0.0
2018-12-31,174.76,$-0.80,0.0
2018-09-30,175.87,$35.93,4.89
2018-06-30,177.48,$35.93,4.94
2018-03-31,175.69,$35.93,4.89
2017-12-31,160.51,$35.93,4.47
2017-09-30,154.92,$-5.66,0.0
2017-06-30,135.56,$-5.66,0.0
2017-03-31,120.45,$-5.66,0.0
2016-12-31,116.44,$-5.66,0.0
2016-09-30,112.28,0,0.0
2016-06-30,113.84,$-7.17,0.0
2016-03-31,95.07,0,0.0
2015-09-30,77.18,0,0.0
2015-06-30,100.81,0,0.0
2013-12-31,93.66,$7.17,13.07
2013-09-30,90.65,$43.20,2.1
2013-06-30,90.3,$43.20,2.09
2013-03-31,115.24,$43.20,2.67
2012-12-31,101.71,$43.20,2.35
2012-09-30,86.94,$-22.64,0.0
2012-06-30,87.37,$-22.64,0.0
2012-03-31,89.89,$-22.64,0.0
2011-12-31,74.65,$-22.64,0.0
2011-09-30,62.87,$39.50,1.59
2011-06-30,58.71,$39.50,1.49
2011-03-31,70.12,$39.50,1.78
2010-12-31,79.46,$39.50,2.01
2010-09-30,76.12,$-6.66,0.0
2010-06-30,60.74,$-6.66,0.0
2010-03-31,57.81,$-6.66,0.0
2009-12-31,50.49,$-6.66,0.0
