Cadiz Price to Free Cash Flow Ratio Historical Data,Cadiz Price to Free Cash Flow Ratio Historical Data,Cadiz Price to Free Cash Flow Ratio Historical Data,Cadiz Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.48,,0.0
2024-09-30,3.03,$-0.35,0.0
2024-06-30,3.09,$-0.36,0.0
2024-03-31,2.9,$-0.35,0.0
2023-12-31,2.8,$-0.41,0.0
2023-09-30,3.31,$-0.42,0.0
2023-06-30,4.06,$-0.45,0.0
2023-03-31,4.04,$-0.46,0.0
2022-12-31,2.5,$-0.44,0.0
2022-09-30,1.9,$-0.52,0.0
2022-06-30,2.33,$-0.45,0.0
2022-03-31,2.07,$-0.94,0.0
2021-12-31,3.86,$-0.94,0.0
2021-09-30,7.04,$-0.86,0.0
2021-06-30,13.6,$-0.89,0.0
2021-03-31,9.59,$-0.40,0.0
2020-12-31,10.65,$-0.56,0.0
2020-09-30,9.93,$-0.57,0.0
2020-06-30,10.16,$-0.62,0.0
2020-03-31,11.67,$-0.66,0.0
2019-12-31,11.02,$-0.58,0.0
2019-09-30,12.49,$-0.62,0.0
2019-06-30,11.25,$-0.56,0.0
2019-03-31,9.68,$-0.55,0.0
2018-12-31,10.3,$-0.58,0.0
2018-09-30,11.15,$-0.55,0.0
2018-06-30,13.1,$-0.59,0.0
2018-03-31,13.5,$-0.58,0.0
2017-12-31,14.25,$-0.51,0.0
2017-09-30,12.7,$-0.53,0.0
2017-06-30,13.5,$-0.46,0.0
2017-03-31,15.05,$-0.55,0.0
2016-12-31,12.5,$-0.51,0.0
2016-09-30,7.41,$-0.55,0.0
2016-06-30,5.87,$-0.71,0.0
2016-03-31,5.22,$-0.69,0.0
2015-12-31,5.26,$-0.76,0.0
2015-09-30,7.26,$-0.65,0.0
2015-06-30,8.69,$-0.53,0.0
2015-03-31,10.26,$-0.50,0.0
2014-12-31,11.2,$-0.62,0.0
2014-09-30,10.39,$-0.72,0.0
2014-06-30,8.33,$-0.74,0.0
2014-03-31,7.05,$-0.85,0.0
2013-12-31,6.96,$-1.02,0.0
2013-09-30,5.11,$-1.15,0.0
2013-06-30,4.6,$-1.19,0.0
2013-03-31,6.76,$-1.12,0.0
2012-12-31,7.92,$-0.95,0.0
2012-09-30,9.71,$-0.85,0.0
2012-06-30,7.21,$-0.92,0.0
2012-03-31,9.2,$-0.88,0.0
2011-12-31,9.63,$-0.83,0.0
2011-09-30,7.91,$-0.75,0.0
2011-06-30,10.86,$-0.62,0.0
2011-03-31,12.19,$-0.61,0.0
2010-12-31,12.44,$-0.58,0.0
2010-09-30,10.26,$-0.53,0.0
2010-06-30,12.07,$-0.51,0.0
2010-03-31,12.77,$-0.54,0.0
2009-12-31,11.97,$-0.51,0.0
