DIH Holding US Price to Free Cash Flow Ratio Historical Data,DIH Holding US Price to Free Cash Flow Ratio Historical Data,DIH Holding US Price to Free Cash Flow Ratio Historical Data,DIH Holding US Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.35,,2.3
2024-12-31,1.38,$0.15,9.09
2024-09-30,1.9,$0.06,29.32
2024-06-30,2.67,$0.14,18.58
2024-03-31,1.1,$0.19,5.82
2023-12-31,4.48,$-0.03,0.0
2023-09-30,10.85,$0.24,45.75
2023-06-30,10.62,$0.13,84.96
2023-03-31,10.37,$-0.03,0.0
2022-12-31,10.23,$-0.14,0.0
