Vincerx Pharma Price to Free Cash Flow Ratio Historical Data,Vincerx Pharma Price to Free Cash Flow Ratio Historical Data,Vincerx Pharma Price to Free Cash Flow Ratio Historical Data,Vincerx Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.62,,0.0
2024-09-30,0.72,$-16.34,0.0
2024-06-30,0.81,$-20.83,0.0
2024-03-31,5.06,$-32.87,0.0
2023-12-31,1.18,$-37.99,0.0
2023-09-30,1.01,$-43.64,0.0
2023-06-30,1.3,$-51.48,0.0
2023-03-31,1.04,$-54.66,0.0
2022-12-31,1.02,$-56.69,0.0
2022-09-30,1.38,$-57.57,0.0
2022-06-30,1.32,$-54.16,0.0
2022-03-31,4.0,$-48.57,0.0
2021-12-31,10.19,$-39.19,0.0
2021-09-30,16.17,$-33.17,0.0
2021-06-30,12.99,$-23.16,0.0
2021-03-31,19.3,$-13.68,0.0
