McEwen Mining Price to Free Cash Flow Ratio Historical Data,McEwen Mining Price to Free Cash Flow Ratio Historical Data,McEwen Mining Price to Free Cash Flow Ratio Historical Data,McEwen Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.34,,0.0
2024-12-31,7.78,$-0.27,0.0
2024-09-30,9.3,$0.18,50.82
2024-06-30,9.18,$-0.14,0.0
2024-03-31,9.86,$-0.88,0.0
2023-12-31,7.21,$-1.38,0.0
2023-09-30,6.5,$-1.58,0.0
2023-06-30,7.19,$-1.74,0.0
2023-03-31,8.47,$-1.79,0.0
2022-12-31,5.86,$-1.70,0.0
2022-09-30,3.26,$-1.84,0.0
2022-06-30,4.39,$-1.86,0.0
2022-03-31,8.42,$-1.16,0.0
2021-12-31,8.87,$-1.20,0.0
2021-09-30,10.4,$-1.20,0.0
2021-06-30,13.8,$-0.93,0.0
2021-03-31,10.4,$-1.05,0.0
2020-12-31,9.85,$-1.02,0.0
2020-09-30,10.6,$-1.42,0.0
2020-06-30,10.1,$-1.66,0.0
2020-03-31,6.61,$-1.54,0.0
2019-12-31,12.7,$-1.91,0.0
2019-09-30,15.6,$-2.14,0.0
2019-06-30,17.5,$-2.57,0.0
2019-03-31,15.0,$-3.07,0.0
2018-12-31,18.15,$-2.39,0.0
2018-09-30,19.34,$-2.20,0.0
2018-06-30,20.59,$-1.38,0.0
2018-03-31,20.69,$-1.05,0.0
2017-12-31,22.62,$-1.15,0.0
2017-09-30,19.35,$-1.32,0.0
2017-06-30,26.1,$-1.17,0.0
2017-03-31,30.17,$-0.68,0.0
2016-12-31,28.88,$0.04,676.23
2016-09-30,36.42,$0.77,47.57
2016-06-30,38.2,$0.95,40.06
2016-03-31,18.65,$0.80,23.34
2015-12-31,10.52,$0.49,21.3
2015-09-30,8.68,$0.35,24.86
2015-06-30,9.45,$-0.09,0.0
2015-03-31,10.05,$-0.27,0.0
2014-12-31,10.94,$-0.59,0.0
2014-09-30,19.31,$-0.62,0.0
2014-06-30,28.38,$-0.65,0.0
2014-03-31,23.35,$-0.82,0.0
2013-12-31,19.31,$-1.52,0.0
2013-09-30,23.65,$-1.66,0.0
2013-06-30,16.55,$-1.32,0.0
2013-03-31,28.18,$-1.87,0.0
2012-12-31,37.73,$-1.78,0.0
2012-09-30,43.29,$-3.85,0.0
2012-06-30,28.39,$-5.39,0.0
2012-03-31,41.88,$-5.86,0.0
2011-12-31,31.69,$-5.86,0.0
2011-09-30,37.82,$-3.82,0.0
2011-06-30,56.88,$-3.08,0.0
2011-03-31,83.29,$-2.23,0.0
2010-12-31,76.12,$-2.10,0.0
2010-09-30,46.88,$-2.16,0.0
2010-06-30,47.26,$-1.96,0.0
2010-03-31,25.47,$-1.56,0.0
2009-12-31,23.39,$-1.34,0.0
