Acadia Healthcare Price to Free Cash Flow Ratio Historical Data,Acadia Healthcare Price to Free Cash Flow Ratio Historical Data,Acadia Healthcare Price to Free Cash Flow Ratio Historical Data,Acadia Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.01,,0.0
2024-12-31,39.65,$-5.98,0.0
2024-09-30,63.41,$-4.96,0.0
2024-06-30,67.54,$-4.56,0.0
2024-03-31,79.22,$-3.96,0.0
2023-12-31,77.76,$0.74,104.57
2023-09-30,70.31,$1.02,69.14
2023-06-30,79.64,$0.52,153.09
2023-03-31,72.25,$0.46,157.41
2022-12-31,82.32,$1.00,82.38
2022-09-30,78.18,$0.78,100.13
2022-06-30,67.63,$1.91,35.48
2022-03-31,65.53,$1.58,41.61
2021-12-31,60.7,$1.47,41.39
2021-09-30,63.78,$2.79,22.88
2021-06-30,62.75,$3.76,16.68
2021-03-31,57.14,$5.20,10.98
2020-12-31,50.26,$4.86,10.34
2020-09-30,29.48,$4.49,6.56
2020-06-30,25.12,$3.01,8.34
2020-03-31,18.35,$1.42,12.9
2019-12-31,33.22,$1.28,26.05
2019-09-30,31.08,$1.52,20.43
2019-06-30,34.95,$1.06,33.06
2019-03-31,29.31,$1.36,21.5
2018-12-31,25.71,$1.63,15.77
2018-09-30,35.2,$0.83,42.52
2018-06-30,40.91,$1.02,39.99
2018-03-31,39.18,$0.96,40.92
2017-12-31,32.63,$1.03,31.71
2017-09-30,47.76,$0.99,48.35
2017-06-30,49.38,$0.96,51.19
2017-03-31,43.6,$0.75,57.83
2016-12-31,33.1,$0.15,214.8
2016-09-30,49.55,$-0.10,0.0
2016-06-30,55.4,$-0.68,0.0
2016-03-31,55.11,$-0.89,0.0
2015-12-31,62.46,$-0.91,0.0
2015-09-30,66.27,$-1.12,0.0
2015-06-30,78.33,$-0.26,0.0
2015-03-31,71.6,$-0.36,0.0
2014-12-31,61.21,$-0.38,0.0
2014-09-30,48.5,$-0.45,0.0
2014-06-30,45.5,$-0.77,0.0
2014-03-31,45.12,$-0.60,0.0
2013-12-31,47.33,$-0.23,0.0
2013-09-30,39.43,$-10.48,0.0
2013-06-30,33.07,$-11.09,0.0
2013-03-31,29.39,$-11.56,0.0
2012-12-31,23.35,$-11.30,0.0
2012-09-30,23.83,$-3.00,0.0
2012-06-30,17.54,$-2.27,0.0
2012-03-31,16.3,$-2.03,0.0
2011-12-31,9.97,$-2.08,0.0
2011-09-30,9.44,$-0.35,0.0
2011-06-30,13.2,$-0.10,0.0
2011-03-31,10.46,$-0.01,0.0
