Atmus Filtration Technologies Price to Free Cash Flow Ratio Historical Data,Atmus Filtration Technologies Price to Free Cash Flow Ratio Historical Data,Atmus Filtration Technologies Price to Free Cash Flow Ratio Historical Data,Atmus Filtration Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.31,,56.39
2024-12-31,39.18,$0.68,57.67
2024-09-30,37.53,$0.87,43.36
2024-06-30,28.78,$0.79,36.51
2024-03-31,32.25,$1.49,21.61
