Koppers Holdings Price to Free Cash Flow Ratio Historical Data,Koppers Holdings Price to Free Cash Flow Ratio Historical Data,Koppers Holdings Price to Free Cash Flow Ratio Historical Data,Koppers Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.77,,14.28
2024-12-31,32.4,$2.09,15.54
2024-09-30,36.46,$1.22,29.82
2024-06-30,36.86,$2.97,12.43
2024-03-31,54.88,$1.60,34.2
2023-12-31,50.89,$1.32,38.59
2023-09-30,39.24,$0.02,1877.36
2023-06-30,33.78,$-1.43,0.0
2023-03-31,34.57,$-0.58,0.0
2022-12-31,27.83,$0.07,423.56
2022-09-30,20.47,$-0.37,0.0
2022-06-30,22.26,$-1.32,0.0
2022-03-31,27.01,$-1.18,0.0
2021-12-31,30.67,$-1.00,0.0
2021-09-30,30.63,$-3.02,0.0
2021-06-30,31.69,$1.76,18.05
2021-03-31,34.06,$2.76,12.35
2020-12-31,30.53,$2.68,11.39
2020-09-30,20.49,$6.94,2.95
2020-06-30,18.46,$4.32,4.28
2020-03-31,12.12,$3.61,3.35
2019-12-31,37.44,$3.71,10.1
2019-09-30,28.62,$3.35,8.55
2019-06-30,28.76,$0.00,0.0
2019-03-31,25.45,$-0.36,0.0
2018-12-31,16.69,$-1.47,0.0
2018-09-30,30.52,$-1.82,0.0
2018-06-30,37.57,$-0.60,0.0
2018-03-31,40.27,$1.03,39.16
2017-12-31,49.87,$1.56,31.98
2017-09-30,45.21,$0.92,48.92
2017-06-30,35.42,$2.55,13.88
2017-03-31,41.49,$1.81,22.94
2016-12-31,39.48,$3.31,11.94
2016-09-30,31.53,$3.28,9.6
2016-06-30,30.11,$1.91,15.76
2016-03-31,22.01,$3.32,6.63
2015-12-31,17.88,$4.24,4.22
2015-09-30,19.76,$3.32,5.95
2015-06-30,24.22,$2.74,8.85
2015-03-31,19.28,$-0.36,0.0
2014-12-31,25.45,$-2.36,0.0
2014-09-30,32.22,$-1.94,0.0
2014-06-30,36.9,$-0.21,0.0
2014-03-31,39.51,$0.80,49.59
2013-12-31,43.55,$2.15,20.28
2013-09-30,40.39,$2.23,18.15
2013-06-30,35.93,$2.82,12.72
2013-03-31,41.13,$3.22,12.77
2012-12-31,35.47,$2.34,15.18
2012-09-30,32.23,$2.75,11.72
2012-06-30,31.14,$1.16,26.83
2012-03-31,35.09,$1.85,18.97
2011-12-31,31.07,$2.10,14.81
2011-09-30,23.01,$2.40,9.6
2011-06-30,33.83,$3.10,10.93
2011-03-31,37.88,$2.31,16.39
2010-12-31,31.57,$3.65,8.66
2010-09-30,23.54,$3.08,7.64
2010-06-30,19.51,$3.07,6.36
2010-03-31,24.41,$4.38,5.57
2009-12-31,26.03,$4.59,5.68
