Aviat Networks Price to Free Cash Flow Ratio Historical Data,Aviat Networks Price to Free Cash Flow Ratio Historical Data,Aviat Networks Price to Free Cash Flow Ratio Historical Data,Aviat Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.85,,22.91
2024-12-31,18.11,$0.87,20.9
2024-09-30,21.63,$-1.45,0.0
2024-06-30,28.69,$2.24,12.82
2024-03-31,38.34,$2.19,17.52
2023-12-31,32.66,$0.63,51.9
2023-09-30,31.2,$2.54,12.3
2023-06-30,33.37,$-0.59,0.0
2023-03-31,34.46,$-0.09,0.0
2022-12-31,31.19,$-0.24,0.0
2022-09-30,27.38,$-1.76,0.0
2022-06-30,25.04,$0.28,90.2
2022-03-31,30.77,$-0.57,0.0
2021-12-31,32.08,$0.21,149.63
2021-09-30,32.86,$0.97,33.75
2021-06-30,32.77,$1.24,26.5
2021-03-31,35.52,$0.83,42.61
2020-12-31,17.08,$1.18,14.47
2020-09-30,10.98,$1.08,10.21
2020-06-30,9.13,$1.18,7.74
2020-03-31,4.25,$1.02,4.16
2019-12-31,7.03,$0.91,7.76
2019-09-30,6.83,$0.99,6.89
2019-06-30,6.85,$-0.20,0.0
2019-03-31,7.68,$0.05,154.53
2018-12-31,6.63,$-0.71,0.0
2018-09-30,8.08,$-0.99,0.0
2018-06-30,8.19,$0.15,56.18
2018-03-31,8.38,$-0.25,0.0
2017-12-31,7.59,$0.52,14.57
2017-09-30,8.51,$0.65,13.0
2017-06-30,8.7,$0.51,17.1
2017-03-31,7.53,$0.30,25.37
2016-12-31,6.92,$-0.15,0.0
2016-09-30,4.65,$-0.06,0.0
2016-06-30,3.89,$-0.12,0.0
2016-03-31,4.26,$0.47,9.03
2015-12-31,4.61,$0.37,12.55
2015-09-30,6.24,$-0.58,0.0
2015-06-30,7.56,$-1.28,0.0
2015-03-31,7.14,$-1.10,0.0
2014-12-31,9.0,$-2.64,0.0
2014-09-30,10.8,$-3.51,0.0
2014-06-30,7.68,$-3.76,0.0
2014-03-31,9.54,$-4.03,0.0
2013-12-31,13.56,$-2.42,0.0
2013-09-30,15.42,$0.03,443.1
2013-06-30,15.72,$-0.20,0.0
2013-03-31,20.22,$0.74,27.26
2012-12-31,19.74,$1.35,14.59
2012-09-30,14.28,$0.11,129.58
2012-06-30,16.8,$0.25,66.06
2012-03-31,16.92,$-0.33,0.0
2011-12-31,10.98,$-1.60,0.0
2011-09-30,14.1,$-2.03,0.0
2011-06-30,23.64,$-5.07,0.0
2011-03-31,31.02,$-4.56,0.0
2010-12-31,30.42,$-2.57,0.0
2010-09-30,24.54,$-2.61,0.0
2010-06-30,21.78,$1.30,16.71
2010-03-31,39.78,$2.52,15.78
2009-12-31,41.46,$4.37,9.48
