ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data,ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data,ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data,ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.97,,0.61
2024-12-31,21.47,$29.52,0.73
2024-09-30,25.66,$21.58,1.19
2024-06-30,22.17,$12.22,1.81
2024-03-31,10.12,$9.02,1.12
2023-12-31,9.87,$7.75,1.27
2023-09-30,10.45,$15.45,0.68
2023-06-30,12.39,$26.29,0.47
2023-03-31,23.58,$37.20,0.63
2022-12-31,17.19,$48.26,0.36
2022-09-30,23.5,$54.59,0.43
2022-06-30,42.33,$55.33,0.77
2022-03-31,62.55,$48.52,1.29
2021-12-31,41.5,$41.85,0.99
