UMB Financial Price to Free Cash Flow Ratio Historical Data,UMB Financial Price to Free Cash Flow Ratio Historical Data,UMB Financial Price to Free Cash Flow Ratio Historical Data,UMB Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,102.67,,24.54
2024-12-31,112.86,$4.18,26.97
2024-09-30,104.77,$7.41,14.14
2024-06-30,82.83,$9.61,8.62
2024-03-31,85.96,$10.53,8.17
2023-12-31,82.18,$9.22,8.91
2023-09-30,60.72,$10.15,5.98
2023-06-30,59.23,$9.67,6.13
2023-03-31,55.81,$10.81,5.16
2022-12-31,80.38,$14.86,5.41
2022-09-30,80.74,$15.58,5.18
2022-06-30,82.14,$15.11,5.44
2022-03-31,92.3,$11.98,7.71
2021-12-31,100.42,$10.35,9.71
2021-09-30,91.21,$10.02,9.1
2021-06-30,87.4,$8.47,10.32
2021-03-31,86.42,$8.93,9.68
2020-12-31,64.35,$6.66,9.66
2020-09-30,45.51,$6.25,7.28
2020-06-30,47.58,$4.77,9.97
2020-03-31,42.6,$4.77,8.93
2019-12-31,62.63,$5.56,11.26
2019-09-30,58.66,$4.12,14.25
2019-06-30,59.5,$5.70,10.44
2019-03-31,57.61,$5.46,10.55
2018-12-31,54.6,$4.89,11.18
2018-09-30,63.2,$5.21,12.14
2018-06-30,67.69,$5.25,12.9
2018-03-31,64.05,$5.86,10.92
2017-12-31,63.39,$5.88,10.78
2017-09-30,65.41,$6.76,9.68
2017-06-30,65.47,$5.83,11.23
2017-03-31,65.63,$4.85,13.53
2016-12-31,66.99,$5.02,13.34
2016-09-30,51.47,$3.36,15.31
2016-06-30,45.88,$3.06,14.98
2016-03-31,44.33,$3.59,12.36
2015-12-31,39.77,$3.35,11.89
2015-09-30,43.19,$3.88,11.12
2015-06-30,48.25,$4.50,10.72
2015-03-31,44.56,$5.22,8.53
2014-12-31,47.72,$4.53,10.52
2014-09-30,45.56,$5.43,8.39
2014-06-30,52.74,$5.24,10.06
2014-03-31,53.63,$4.97,10.78
2013-12-31,53.09,$6.20,8.56
2013-09-30,44.72,$4.93,9.08
2013-06-30,45.65,$5.23,8.73
2013-03-31,40.07,$5.08,7.88
2012-12-31,35.62,$4.48,7.95
2012-09-30,39.37,$5.44,7.24
2012-06-30,41.26,$3.74,11.03
2012-03-31,35.87,$2.94,12.2
2011-12-31,29.72,$4.44,6.7
2011-09-30,25.45,$3.40,7.49
2011-06-30,33.05,$4.25,7.78
2011-03-31,29.35,$4.25,6.9
2010-12-31,32.39,$3.73,8.69
2010-09-30,27.62,$3.22,8.58
2010-06-30,27.51,$3.58,7.68
2010-03-31,31.25,$3.33,9.37
2009-12-31,30.15,$3.09,9.76
