Acumen Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Acumen Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Acumen Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Acumen Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.18,,0.0
2024-09-30,2.48,$-1.23,0.0
2024-06-30,2.42,$-0.93,0.0
2024-03-31,4.05,$-0.94,0.0
2023-12-31,3.84,$-0.89,0.0
2023-09-30,4.15,$-0.92,0.0
2023-06-30,4.81,$-1.04,0.0
2023-03-31,4.06,$-0.91,0.0
2022-12-31,5.4,$-0.87,0.0
2022-09-30,10.03,$-1.12,0.0
2022-06-30,4.7,$-1.26,0.0
