Viracta Therapeutics Price to Free Cash Flow Ratio Historical Data,Viracta Therapeutics Price to Free Cash Flow Ratio Historical Data,Viracta Therapeutics Price to Free Cash Flow Ratio Historical Data,Viracta Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-28,0.02,,0.0
2024-09-30,0.23,$-0.89,0.0
2024-06-30,0.54,$-0.98,0.0
2024-03-31,1.02,$-0.94,0.0
2023-12-31,0.57,$-1.04,0.0
2023-09-30,1.04,$-0.98,0.0
2023-06-30,1.41,$-0.90,0.0
2023-03-31,1.59,$-0.93,0.0
2022-12-31,1.46,$-0.94,0.0
2022-09-30,4.27,$-1.01,0.0
2022-06-30,3.88,$-1.03,0.0
2022-03-31,4.76,$-1.07,0.0
2021-12-31,3.65,$-0.60,0.0
2021-09-30,8.02,$-9.58,0.0
2021-06-30,11.34,$-22.91,0.0
2021-03-31,9.25,$-47.86,0.0
2020-12-31,1.99,$-49.57,0.0
2020-09-30,1.25,$-43.08,0.0
2020-06-30,0.26,$-29.38,0.0
2020-03-31,0.41,$-6.84,0.0
2019-12-31,0.34,$-8.91,0.0
2019-09-30,0.72,$-12.79,0.0
2019-06-30,0.73,$-17.66,0.0
2019-03-31,1.22,$-20.95,0.0
2018-12-31,0.42,$-24.01,0.0
2018-09-30,2.0,$-23.45,0.0
2018-06-30,2.12,$-30.97,0.0
2018-03-31,2.72,$-42.24,0.0
2017-12-31,3.69,$-51.64,0.0
2017-09-30,1.94,$-58.05,0.0
2017-06-30,2.7,$-67.15,0.0
2017-03-31,4.1,$-72.57,0.0
2016-12-31,3.62,$-82.47,0.0
2016-09-30,4.37,$-98.76,0.0
2016-06-30,3.29,$-102.82,0.0
2016-03-31,3.24,$-101.48,0.0
2015-12-31,5.39,$-111.52,0.0
2015-09-30,4.86,$-111.67,0.0
2015-06-30,18.06,$-131.49,0.0
2015-03-31,14.7,$-140.89,0.0
2014-12-31,15.3,$-147.59,0.0
2014-09-30,42.84,$-159.77,0.0
2014-06-30,39.12,$-148.80,0.0
2014-03-31,39.66,$-154.50,0.0
2013-12-31,28.44,$-150.39,0.0
2013-09-30,29.76,$-149.51,0.0
2013-06-30,31.11,$-54.22,0.0
2013-03-31,32.82,$-43.24,0.0
2012-12-31,25.2,$-46.36,0.0
2012-09-30,33.78,$-39.47,0.0
2012-06-30,17.22,$-130.06,0.0
2012-03-31,17.22,$-115.44,0.0
2011-12-31,7.02,$-103.22,0.0
2011-09-30,7.38,$-147.50,0.0
2011-06-30,12.54,$-51.19,0.0
2011-03-31,11.64,$-82.46,0.0
2010-12-31,18.72,$-163.35,0.0
2010-09-30,15.08,$-242.02,0.0
2010-06-30,16.92,$-435.25,0.0
2010-03-31,31.5,$-601.99,0.0
2009-12-31,38.52,$-723.33,0.0
