Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,54.02,,22.56
2024-12-31,54.79,$2.39,22.88
2024-09-30,52.68,$-0.77,0.0
2024-06-30,41.6,$-0.67,0.0
2024-03-31,52.98,$-3.71,0.0
2023-12-31,49.61,$-0.85,0.0
2023-09-30,40.09,$-0.40,0.0
2023-06-30,39.59,$0.38,104.6
2023-03-31,35.45,$0.80,44.05
2022-12-31,33.81,$0.68,49.58
2022-09-30,28.24,$-0.52,0.0
2022-06-30,30.91,$0.67,45.94
2022-03-31,32.52,$2.80,11.63
2021-12-31,35.41,$2.98,11.89
2021-09-30,28.64,$5.41,5.3
2021-06-30,27.31,$5.16,5.3
2021-03-31,31.36,$6.52,4.81
2020-12-31,25.96,$7.50,3.46
2020-09-30,21.03,$7.39,2.85
2020-06-30,17.21,$7.81,2.2
2020-03-31,13.2,$3.77,3.5
2019-12-31,19.17,$1.54,12.46
2019-09-30,15.86,$-0.62,0.0
2019-06-30,14.96,$-3.19,0.0
2019-03-31,17.13,$-2.12,0.0
2018-12-31,14.09,$-0.18,0.0
2018-09-30,16.01,$-0.60,0.0
2018-06-30,17.62,$-0.32,0.0
2018-03-31,17.26,$0.20,86.67
2017-12-31,20.63,$-0.58,0.0
2017-09-30,18.8,$1.46,12.91
2017-06-30,15.1,$3.10,4.87
2017-03-31,13.43,$3.17,4.24
2016-12-31,12.96,$3.69,3.52
2016-09-30,9.94,$2.72,3.65
2016-06-30,8.75,$0.77,11.35
2016-03-31,7.41,$0.95,7.77
2015-12-31,8.89,$-1.48,0.0
2015-09-30,9.82,$-2.45,0.0
2015-06-30,10.64,$-2.19,0.0
2015-03-31,11.11,$-3.12,0.0
2014-12-31,13.02,$-1.87,0.0
2014-09-30,13.58,$-0.71,0.0
2014-06-30,14.08,$-0.45,0.0
2014-03-31,13.19,$-1.15,0.0
2013-12-31,12.04,$-0.19,0.0
2013-09-30,10.77,$0.51,20.95
2013-06-30,10.05,$1.68,5.97
2013-03-31,9.8,$2.74,3.57
2012-12-31,8.39,$0.56,15.1
2012-09-30,7.82,$-1.34,0.0
2012-06-30,6.64,$-3.14,0.0
2012-03-31,8.62,$-3.89,0.0
2011-12-31,8.5,$-2.50,0.0
2011-09-30,5.75,$-1.24,0.0
2011-06-30,7.73,$-0.92,0.0
2011-03-31,8.04,$-0.45,0.0
2010-12-31,8.3,$-0.20,0.0
2010-09-30,6.23,$-0.53,0.0
2010-06-30,5.43,$0.26,20.61
2010-03-31,5.36,$0.56,9.54
2009-12-31,4.83,$1.19,4.07
