RMR Group Price to Free Cash Flow Ratio Historical Data,RMR Group Price to Free Cash Flow Ratio Historical Data,RMR Group Price to Free Cash Flow Ratio Historical Data,RMR Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.05,,0.0
2024-12-31,20.64,$-0.28,0.0
2024-09-30,24.92,$-0.79,0.0
2024-06-30,21.8,$3.58,6.09
2024-03-31,22.69,$6.18,3.67
2023-12-31,26.28,$6.46,4.07
2023-09-30,22.44,$6.41,3.5
2023-06-30,20.86,$7.08,2.95
2023-03-31,23.24,$2.89,8.05
2022-12-31,24.68,$2.95,8.37
2022-09-30,20.37,$3.19,6.38
2022-06-30,24.03,$2.81,8.54
2022-03-31,26.0,$2.72,9.58
2021-12-31,28.66,$2.50,11.45
2021-09-30,27.34,$2.26,12.11
2021-06-30,26.37,$2.23,11.8
2021-03-31,27.59,$2.04,13.5
2020-12-31,25.85,$0.75,34.47
2020-09-30,18.15,$2.47,7.36
2020-06-30,19.22,$2.76,6.96
2020-03-31,17.36,$2.90,5.98
2019-12-31,29.13,$11.48,2.54
2019-09-30,28.8,$12.24,2.35
2019-06-30,29.53,$11.97,2.47
2019-03-31,38.11,$12.23,3.12
2018-12-31,33.0,$14.97,2.2
2018-09-30,57.69,$14.13,4.08
2018-06-30,48.63,$14.32,3.4
2018-03-31,43.22,$14.29,3.02
2017-12-31,36.5,$8.78,4.16
2017-09-30,31.45,$7.80,4.03
2017-06-30,29.65,$7.76,3.82
2017-03-31,30.03,$8.02,3.74
2016-12-31,23.82,$6.83,3.49
2016-09-30,22.73,$6.16,3.69
