LendingTree Price to Free Cash Flow Ratio Historical Data,LendingTree Price to Free Cash Flow Ratio Historical Data,LendingTree Price to Free Cash Flow Ratio Historical Data,LendingTree Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.39,,13.36
2024-12-31,38.75,$3.85,10.07
2024-09-30,58.03,$4.24,13.68
2024-06-30,41.59,$2.09,19.88
2024-03-31,42.34,$3.65,11.6
2023-12-31,30.32,$4.25,7.13
2023-09-30,15.5,$3.93,3.94
2023-06-30,22.11,$3.51,6.3
2023-03-31,26.66,$2.79,9.57
2022-12-31,21.33,$2.46,8.66
2022-09-30,23.86,$3.98,5.99
2022-06-30,43.82,$5.53,7.92
2022-03-31,119.67,$7.65,15.65
2021-12-31,122.6,$7.02,17.45
2021-09-30,139.83,$3.90,35.87
2021-06-30,211.88,$1.51,140.68
2021-03-31,213.0,$3.43,62.15
2020-12-31,273.79,$5.32,51.5
2020-09-30,306.89,$8.66,35.44
2020-06-30,289.53,$11.59,24.99
2020-03-31,183.39,$11.51,15.93
2019-12-31,303.44,$11.03,27.52
2019-09-30,310.43,$12.34,25.15
2019-06-30,420.03,$12.64,33.22
2019-03-31,351.56,$8.07,43.57
2018-12-31,219.57,$7.74,28.39
2018-09-30,230.1,$6.27,36.73
2018-06-30,213.8,$4.30,49.69
2018-03-31,328.15,$6.80,48.24
2017-12-31,340.45,$6.98,48.78
2017-09-30,244.45,$4.40,55.58
2017-06-30,172.2,$5.14,33.5
2017-03-31,125.35,$3.02,41.48
2016-12-31,101.35,$2.53,40.13
2016-09-30,96.91,$2.66,36.4
2016-06-30,88.33,$2.04,43.31
2016-03-31,97.78,$2.68,36.46
2015-12-31,89.28,$2.39,37.39
2015-09-30,93.03,$2.79,33.39
2015-06-30,78.61,$1.47,53.57
2015-03-31,56.01,$0.88,63.32
2014-12-31,48.34,$0.47,103.62
2014-09-30,35.89,$0.39,91.3
2014-06-30,29.14,$0.70,41.4
2014-03-31,31.04,$1.15,26.94
2013-12-31,32.84,$0.68,48.39
2013-09-30,26.26,$-0.02,0.0
2013-06-30,17.14,$0.05,326.48
2013-03-31,18.49,$-0.72,0.0
2012-12-31,18.03,$-0.69,0.0
2012-09-30,14.76,$-1.28,0.0
2012-06-30,10.77,$-2.13,0.0
2012-03-31,7.19,$-2.45,0.0
2011-12-31,5.26,$-3.11,0.0
2011-09-30,4.71,$-2.68,0.0
2011-06-30,4.82,$-2.80,0.0
2011-03-31,5.55,$-3.07,0.0
2010-12-31,8.9,$-3.32,0.0
2010-09-30,6.16,$-4.19,0.0
2010-06-30,5.95,$-0.51,0.0
2010-03-31,8.62,$-1.62,0.0
2009-12-31,8.62,$0.89,9.71
