Stellus Capital Investment Price to Free Cash Flow Ratio Historical Data,Stellus Capital Investment Price to Free Cash Flow Ratio Historical Data,Stellus Capital Investment Price to Free Cash Flow Ratio Historical Data,Stellus Capital Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.35,,0.0
2024-12-31,13.76,$-1.12,0.0
2024-09-30,13.43,$1.19,11.26
2024-06-30,13.09,$0.37,35.27
2024-03-31,12.23,$1.02,11.99
2023-12-31,11.65,$-0.78,0.0
2023-09-30,11.95,$0.00,0.0
2023-06-30,12.02,$-0.45,0.0
2023-03-31,11.71,$-1.27,0.0
2022-12-31,10.72,$-2.88,0.0
2022-09-30,9.41,$-3.40,0.0
2022-06-30,8.55,$-1.96,0.0
2022-03-31,10.38,$-4.20,0.0
2021-12-31,9.49,$-3.90,0.0
2021-09-30,9.33,$-6.06,0.0
2021-06-30,8.79,$-5.42,0.0
2021-03-31,8.7,$-1.67,0.0
2020-12-31,7.29,$-0.18,0.0
2020-09-30,5.68,$-1.64,0.0
2020-06-30,4.48,$-5.32,0.0
2020-03-31,4.48,$-6.34,0.0
2019-12-31,8.48,$-5.10,0.0
2019-09-30,7.93,$-4.29,0.0
2019-06-30,7.85,$0.08,98.58
2019-03-31,7.84,$-3.37,0.0
2018-12-31,7.0,$-6.42,0.0
2018-09-30,7.25,$-5.55,0.0
2018-06-30,6.62,$-8.32,0.0
2018-03-31,5.81,$-3.59,0.0
2017-12-31,6.44,$1.27,5.08
2017-09-30,6.53,$1.56,4.19
2017-06-30,6.39,$2.74,2.34
2017-03-31,6.62,$2.33,2.84
2016-12-31,5.36,$0.71,7.57
2016-09-30,4.7,$-1.22,0.0
2016-06-30,4.29,$-1.53,0.0
2016-03-31,4.14,$-1.94,0.0
2015-12-31,3.76,$-1.96,0.0
2015-09-30,3.8,$-2.12,0.0
2015-06-30,4.17,$-2.41,0.0
2015-03-31,4.29,$-1.03,0.0
2014-12-31,4.07,$-2.21,0.0
2014-09-30,4.68,$-2.39,0.0
2014-06-30,4.83,$-0.27,0.0
2014-03-31,4.62,$-7.13,0.0
2013-12-31,4.67,$-5.67,0.0
2013-09-30,4.58,$-3.12,0.0
