GreenPower Motor Price to Free Cash Flow Ratio Historical Data,GreenPower Motor Price to Free Cash Flow Ratio Historical Data,GreenPower Motor Price to Free Cash Flow Ratio Historical Data,GreenPower Motor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.59,,0.0
2024-12-31,0.77,$-0.40,0.0
2024-09-30,1.37,$-0.32,0.0
2024-06-30,1.04,$-0.50,0.0
2024-03-31,1.97,$-0.06,0.0
2023-12-31,3.13,$0.05,62.23
2023-09-30,3.15,$-0.11,0.0
2023-06-30,2.62,$-0.07,0.0
2023-03-31,2.31,$-0.61,0.0
2022-12-31,1.73,$-0.44,0.0
2022-09-30,2.33,$-0.86,0.0
2022-06-30,3.3,$-0.79,0.0
2022-03-31,6.85,$-0.95,0.0
2021-12-31,9.48,$-1.43,0.0
2021-09-30,14.88,$-1.18,0.0
2021-06-30,19.63,$-1.32,0.0
