China Automotive Systems Price to Free Cash Flow Ratio Historical Data,China Automotive Systems Price to Free Cash Flow Ratio Historical Data,China Automotive Systems Price to Free Cash Flow Ratio Historical Data,China Automotive Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.64,,28.75
2024-09-30,4.6,$0.16,28.5
2024-06-30,2.97,$0.30,9.85
2024-03-31,2.97,$0.50,5.94
2023-12-31,2.7,$0.15,18.27
2023-09-30,3.25,$0.24,13.34
2023-06-30,4.11,$0.56,7.36
2023-03-31,4.37,$0.97,4.5
2022-12-31,4.85,$0.95,5.08
2022-09-30,3.33,$1.66,2.0
2022-06-30,2.26,$0.79,2.84
2022-03-31,2.55,$0.58,4.38
2021-12-31,2.24,$0.62,3.61
2021-09-30,2.73,$-0.42,0.0
2021-06-30,4.12,$0.57,7.29
2021-03-31,3.96,$0.38,10.55
2020-12-31,5.22,$1.39,3.76
2020-09-30,2.47,$1.96,1.26
2020-06-30,2.42,$1.92,1.26
2020-03-31,1.45,$1.63,0.89
2019-12-31,2.63,$-0.08,0.0
2019-09-30,1.71,$-0.49,0.0
2019-06-30,2.0,$-0.80,0.0
2019-03-31,2.69,$-0.72,0.0
2018-12-31,2.04,$-0.39,0.0
2018-09-30,2.95,$-0.50,0.0
2018-06-30,3.61,$-0.40,0.0
2018-03-31,3.92,$0.29,13.46
2017-12-31,4.01,$0.76,5.28
2017-09-30,4.35,$0.39,11.28
2017-06-30,4.05,$0.37,10.85
2017-03-31,4.17,$-0.49,0.0
2016-12-31,4.48,$-0.83,0.0
2016-09-30,3.47,$-0.50,0.0
2016-06-30,2.7,$-0.85,0.0
2016-03-31,3.88,$-0.41,0.0
2015-12-31,3.83,$-0.05,0.0
2015-09-30,4.47,$1.08,4.15
2015-06-30,7.04,$1.01,6.96
2015-03-31,6.09,$1.60,3.8
2014-12-31,5.93,$1.19,4.97
2014-09-30,7.68,$0.37,20.82
2014-06-30,7.27,$0.52,13.99
2014-03-31,6.6,$-0.12,0.0
2013-12-31,6.63,$0.16,41.78
2013-09-30,6.25,$0.14,44.42
2013-06-30,4.31,$-0.05,0.0
2013-03-31,4.03,$-0.33,0.0
2012-12-31,3.99,$0.04,98.35
2012-09-30,3.23,$-0.22,0.0
2012-06-30,3.43,$0.31,11.0
2012-03-31,5.72,$1.17,4.91
2011-12-31,2.76,$0.63,4.4
2011-09-30,3.95,$0.82,4.79
2011-06-30,7.22,$0.61,11.83
2011-03-31,7.44,$-0.29,0.0
2010-12-31,11.39,$0.35,32.94
2010-09-30,12.78,$0.33,38.56
2010-06-30,14.71,$0.35,42.63
2010-03-31,19.31,$0.85,22.74
2009-12-31,15.64,$0.66,23.8
