Lindblad Expeditions Price to Free Cash Flow Ratio Historical Data,Lindblad Expeditions Price to Free Cash Flow Ratio Historical Data,Lindblad Expeditions Price to Free Cash Flow Ratio Historical Data,Lindblad Expeditions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.23,,9.36
2024-12-31,11.86,$1.09,10.85
2024-09-30,9.25,$0.75,12.33
2024-06-30,9.65,$0.74,13.13
2024-03-31,9.33,$0.70,13.35
2023-12-31,11.27,$-0.08,0.0
2023-09-30,7.2,$0.00,0.0
2023-06-30,10.88,$-0.59,0.0
2023-03-31,9.56,$-0.81,0.0
2022-12-31,7.7,$-0.78,0.0
2022-09-30,6.76,$-0.48,0.0
2022-06-30,8.1,$-1.31,0.0
2022-03-31,15.08,$-1.11,0.0
2021-12-31,15.6,$-1.28,0.0
2021-09-30,14.59,$-1.82,0.0
2021-06-30,16.01,$-1.25,0.0
2021-03-31,18.9,$-3.15,0.0
2020-12-31,17.12,$-4.98,0.0
2020-09-30,8.51,$-4.47,0.0
2020-06-30,7.72,$-4.37,0.0
2020-03-31,4.17,$-2.30,0.0
2019-12-31,16.35,$-0.68,0.0
2019-09-30,16.76,$-0.55,0.0
2019-06-30,17.95,$0.09,210.19
2019-03-31,15.25,$-0.29,0.0
2018-12-31,13.46,$0.04,310.14
2018-09-30,14.87,$-0.43,0.0
2018-06-30,13.25,$-0.41,0.0
2018-03-31,10.27,$-0.27,0.0
2017-12-31,9.79,$-0.62,0.0
2017-09-30,10.7,$-0.53,0.0
2017-06-30,10.5,$-0.74,0.0
2017-03-31,8.96,$-1.23,0.0
2016-12-31,9.45,$-0.96,0.0
2016-09-30,9.0,$-0.67,0.0
2016-06-30,9.63,$-0.01,0.0
