Microvast Holdings Price to Free Cash Flow Ratio Historical Data,Microvast Holdings Price to Free Cash Flow Ratio Historical Data,Microvast Holdings Price to Free Cash Flow Ratio Historical Data,Microvast Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.32,,0.0
2024-09-30,0.25,$-0.18,0.0
2024-06-30,0.46,$-0.44,0.0
2024-03-31,0.84,$-0.71,0.0
2023-12-31,1.4,$-0.84,0.0
2023-09-30,1.89,$-0.92,0.0
2023-06-30,1.6,$-0.67,0.0
2023-03-31,1.24,$-0.61,0.0
2022-12-31,1.53,$-0.68,0.0
2022-09-30,1.81,$-0.92,0.0
2022-06-30,2.22,$-0.70,0.0
2022-03-31,6.7,$-0.66,0.0
2021-12-31,5.66,$-0.71,0.0
2021-09-30,8.22,$-0.20,0.0
2021-06-30,13.63,$-0.42,0.0
2021-03-31,12.3,$-0.30,0.0
2020-12-31,17.1,$-0.03,0.0
2020-09-30,10.18,$-0.03,0.0
2020-06-30,10.23,$-0.10,0.0
2020-03-31,9.97,$-0.08,0.0
2019-12-31,9.96,$-0.07,0.0
