Exscientia Price to Free Cash Flow Ratio Historical Data,Exscientia Price to Free Cash Flow Ratio Historical Data,Exscientia Price to Free Cash Flow Ratio Historical Data,Exscientia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,5.28,,0.0
2024-06-30,5.1,$-1.10,0.0
2024-03-31,5.72,$-1.24,0.0
2023-12-31,6.41,$-1.44,0.0
2023-09-30,4.52,$-2.00,0.0
2023-06-30,5.92,$-2.33,0.0
2023-03-31,5.3,$-1.06,0.0
2022-12-31,5.33,$-0.84,0.0
