Carver Bancorp Price to Free Cash Flow Ratio Historical Data,Carver Bancorp Price to Free Cash Flow Ratio Historical Data,Carver Bancorp Price to Free Cash Flow Ratio Historical Data,Carver Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.45,,0.0
2024-12-31,1.84,$-2.11,0.0
2024-09-30,1.92,$-1.04,0.0
2024-06-30,1.41,$-1.52,0.0
2024-03-31,1.53,$-1.43,0.0
2023-12-31,1.97,$-1.03,0.0
2023-09-30,2.17,$-1.68,0.0
2023-06-30,2.67,$-0.58,0.0
2023-03-31,3.99,$-2.51,0.0
2022-12-31,4.11,$0.69,5.97
2022-09-30,4.0,$0.49,8.15
2022-06-30,5.76,$0.91,6.32
2022-03-31,7.0,$1.94,3.61
2021-12-31,8.54,$1.28,6.65
2021-09-30,17.8,$-0.27,0.0
2021-06-30,10.24,$-4.90,0.0
2021-03-31,9.08,$0.57,15.85
2020-12-31,6.49,$-2.25,0.0
2020-09-30,6.45,$-0.59,0.0
2020-06-30,6.21,$2.83,2.19
2020-03-31,1.89,$-0.36,0.0
2019-12-31,2.43,$-1.10,0.0
2019-09-30,3.04,$-1.57,0.0
2019-06-30,3.0,$-2.12,0.0
2019-03-31,3.73,$-3.15,0.0
2018-12-31,2.98,$3.52,0.85
2018-09-30,4.31,$2.75,1.56
2018-06-30,4.63,$3.51,1.32
2018-03-31,2.82,$3.12,0.9
2017-12-31,2.91,$-1.80,0.0
2017-09-30,2.29,$-0.25,0.0
2017-06-30,3.4,$-0.46,0.0
2017-03-31,3.66,$0.15,23.94
2016-12-31,3.22,$0.68,4.73
2016-09-30,5.12,$-0.41,0.0
2016-06-30,3.72,$0.55,6.74
2016-03-31,5.22,$0.53,9.85
2015-12-31,3.75,$1.04,3.61
2015-09-30,6.65,$1.18,5.63
2015-06-30,5.52,$0.28,19.67
2015-03-31,4.64,$0.90,5.15
2014-12-31,6.25,$0.54,11.68
2014-09-30,9.11,$1.34,6.79
2014-06-30,10.25,$5.27,1.95
2014-03-31,12.72,$4.12,3.09
2013-12-31,6.99,$2.97,2.35
2013-09-30,7.8,$5.00,1.56
2013-06-30,5.44,$3.55,1.53
2013-03-31,4.6,$5.44,0.85
2012-12-31,4.23,$14.80,0.29
2012-09-30,3.74,$-41.35,0.0
2012-06-30,2.65,$-10.29,0.0
2012-03-31,7.5,$18.88,0.4
2011-12-31,8.29,$39.87,0.21
2011-09-30,6.2,$89.95,0.07
2011-06-30,12.0,$52.24,0.23
2011-03-31,13.5,$22.92,0.59
2010-12-31,28.65,$8.27,3.46
2010-09-30,45.32,$26.64,1.7
2010-06-30,118.96,$23.86,4.99
2010-03-31,129.95,$27.58,4.71
2009-12-31,132.75,$74.91,1.77
