NeuroPace Price to Free Cash Flow Ratio Historical Data,NeuroPace Price to Free Cash Flow Ratio Historical Data,NeuroPace Price to Free Cash Flow Ratio Historical Data,NeuroPace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.64,,0.0
2024-12-31,11.19,$-0.63,0.0
2024-09-30,6.97,$-0.59,0.0
2024-06-30,7.56,$-0.61,0.0
2024-03-31,13.2,$-0.65,0.0
2023-12-31,10.31,$-0.77,0.0
2023-09-30,9.73,$-0.96,0.0
2023-06-30,4.49,$-1.16,0.0
2023-03-31,4.64,$-1.43,0.0
2022-12-31,1.49,$-1.52,0.0
2022-09-30,3.75,$-2.01,0.0
2022-06-30,4.95,$-1.74,0.0
2022-03-31,8.21,$-1.98,0.0
