SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data,SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data,SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data,SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,82.34,,18.37
2024-12-31,75.78,$4.48,16.9
2024-09-30,73.97,$4.06,18.24
2024-06-30,62.26,$3.77,16.53
2024-03-31,63.7,$3.51,18.16
2023-12-31,60.25,$3.79,15.91
2023-09-30,51.58,$3.77,13.7
2023-06-30,59.24,$3.99,14.85
2023-03-31,55.0,$3.81,14.44
2022-12-31,50.54,$3.58,14.12
2022-09-30,46.18,$4.02,11.48
2022-06-30,55.96,$4.38,12.78
2022-03-31,72.07,$4.83,14.91
2021-12-31,78.55,$4.85,16.18
2021-09-30,66.32,$4.71,14.09
2021-06-30,68.72,$4.04,17.03
2021-03-31,66.48,$4.17,15.93
2020-12-31,69.06,$4.05,17.04
2020-09-30,57.33,$4.59,12.48
2020-06-30,53.39,$5.11,10.44
2020-03-31,41.33,$4.62,8.95
2019-12-31,57.78,$4.56,12.68
2019-09-30,48.43,$3.71,13.05
2019-06-30,53.99,$3.28,16.45
2019-03-31,59.58,$2.43,24.54
2018-12-31,42.13,$2.30,18.31
2018-09-30,53.07,$1.82,29.09
2018-06-30,48.4,$1.57,30.87
2018-03-31,49.96,$2.05,24.36
2017-12-31,37.65,$2.01,18.7
2017-09-30,37.28,$2.10,17.76
2017-06-30,35.6,$2.06,17.29
2017-03-31,32.75,$2.02,16.25
2016-12-31,26.42,$1.85,14.27
2016-09-30,29.63,$1.58,18.7
2016-06-30,25.83,$1.19,21.67
2016-03-31,29.11,$1.02,28.45
2015-12-31,31.28,$1.11,28.06
2015-09-30,32.03,$1.04,30.81
2015-06-30,28.53,$1.39,20.51
2015-03-31,28.38,$1.30,21.88
2014-12-31,26.59,$1.34,19.85
2014-09-30,19.9,$1.16,17.16
2014-06-30,20.05,$1.24,16.19
2014-03-31,18.15,$1.22,14.82
2013-12-31,20.07,$1.13,17.71
2013-09-30,17.28,$1.23,14.11
2013-06-30,14.92,$0.87,17.14
2013-03-31,13.6,$0.74,18.36
2012-12-31,10.47,$0.70,14.9
2012-09-30,11.43,$0.54,21.32
2012-06-30,11.34,$0.60,18.77
2012-03-31,10.58,$0.65,16.4
2011-12-31,8.19,$0.64,12.86
2011-09-30,6.48,$0.60,10.89
2011-06-30,9.01,$0.57,15.9
2011-03-31,9.26,$0.43,21.47
2010-12-31,9.3,$0.48,19.36
