Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.75,,9.32
2024-12-31,39.99,$4.69,8.52
2024-09-30,44.21,$4.39,10.07
2024-06-30,39.95,$4.56,8.75
2024-03-31,40.0,$4.53,8.84
2023-12-31,35.34,$4.44,7.96
2023-09-30,29.74,$3.87,7.69
2023-06-30,33.51,$3.52,9.51
2023-03-31,34.48,$3.66,9.42
2022-12-31,34.39,$3.34,10.29
2022-09-30,32.58,$3.41,9.55
2022-06-30,43.0,$3.52,12.22
2022-03-31,42.64,$3.62,11.77
2021-12-31,42.99,$4.64,9.27
2021-09-30,44.16,$5.45,8.11
2021-06-30,45.3,$5.21,8.69
2021-03-31,46.51,$6.09,7.64
2020-12-31,46.49,$5.69,8.17
2020-09-30,46.58,$5.24,8.89
2020-06-30,42.68,$5.71,7.48
2020-03-31,41.16,$4.48,9.19
2019-12-31,46.54,$4.30,10.82
2019-09-30,45.29,$4.33,10.47
2019-06-30,42.41,$4.10,10.33
2019-03-31,43.45,$4.45,9.77
2018-12-31,40.88,$4.28,9.55
2018-09-30,38.4,$3.89,9.86
2018-06-30,35.77,$3.24,11.02
2018-03-31,33.57,$2.65,12.65
2017-12-31,36.74,$1.73,21.25
2017-09-30,33.94,$0.85,39.7
2017-06-30,30.23,$0.32,95.91
2017-03-31,32.61,$-0.29,0.0
2016-12-31,35.32,$1.13,31.17
2016-09-30,34.01,$2.85,11.95
2016-06-30,36.17,$3.94,9.18
2016-03-31,34.66,$4.62,7.5
2015-12-31,29.26,$5.19,5.64
2015-09-30,27.2,$4.74,5.74
2015-06-30,28.79,$4.49,6.41
2015-03-31,29.71,$4.08,7.28
2014-12-31,28.24,$3.38,8.37
2014-09-30,29.85,$4.49,6.64
2014-06-30,28.9,$5.93,4.87
2014-03-31,27.79,$7.23,3.84
2013-12-31,28.4,$7.73,3.67
2013-09-30,26.67,$6.43,4.15
2013-06-30,28.48,$5.93,4.81
2013-03-31,27.52,$5.88,4.68
2012-12-31,23.94,$5.35,4.47
2012-09-30,24.94,$6.30,3.96
2012-06-30,24.05,$6.15,3.91
2012-03-31,20.42,$5.37,3.8
2011-12-31,21.15,$4.77,4.44
2011-09-30,19.13,$4.40,4.35
2011-06-30,19.11,$4.08,4.68
2011-03-31,19.53,$4.91,3.97
2010-12-31,17.89,$5.97,3.0
2010-09-30,16.06,$6.08,2.64
2010-06-30,12.69,$6.23,2.04
2010-03-31,13.83,$5.37,2.57
2009-12-31,14.56,$5.11,2.85
