Zeo Energy Price to Free Cash Flow Ratio Historical Data,Zeo Energy Price to Free Cash Flow Ratio Historical Data,Zeo Energy Price to Free Cash Flow Ratio Historical Data,Zeo Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.65,,0.0
2024-09-30,1.69,$-2.47,0.0
2024-06-30,2.15,$-2.52,0.0
2024-03-31,5.7,$-10.44,0.0
2023-12-31,11.26,0,0.0
2023-09-30,11.16,$0.54,20.76
2023-06-30,10.88,$0.53,20.56
2023-03-31,10.5,$0.51,20.62
2022-12-31,10.34,$0.47,21.78
2022-09-30,10.13,$-0.06,0.0
