Helen Of Troy Price to Free Cash Flow Ratio Historical Data,Helen Of Troy Price to Free Cash Flow Ratio Historical Data,Helen Of Troy Price to Free Cash Flow Ratio Historical Data,Helen Of Troy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.19,,10.07
2024-11-30,73.33,$5.18,14.15
2024-08-31,53.38,$8.04,6.64
2024-05-31,106.88,$7.46,14.33
2024-02-29,125.0,$11.31,11.05
2023-11-30,105.03,$20.06,5.24
2023-08-31,122.92,$14.92,8.24
2023-05-31,96.28,$10.67,9.02
2023-02-28,112.69,$1.39,81.17
2022-11-30,98.54,$-5.61,0.0
2022-08-31,123.63,$-1.78,0.0
2022-05-31,185.19,$0.77,239.64
2022-02-28,205.67,$2.79,73.73
2021-11-30,240.5,$-2.28,0.0
2021-08-31,239.19,$-1.42,0.0
2021-05-31,210.48,$2.41,87.19
2021-02-28,216.8,$8.55,25.36
2020-11-30,201.99,$15.68,12.88
2020-08-31,206.82,$15.57,13.28
2020-05-31,181.92,$12.94,14.06
2020-02-29,164.6,$10.01,16.44
2019-11-30,161.42,$6.78,23.81
2019-08-31,153.51,$6.73,22.81
2019-05-31,133.61,$6.02,22.18
2019-02-28,112.11,$6.47,17.34
2018-11-30,143.03,$7.32,19.55
2018-08-31,118.95,$7.08,16.8
2018-05-31,89.8,$7.26,12.37
2018-02-28,90.05,$7.73,11.65
2017-11-30,89.4,$6.74,13.27
2017-08-31,90.3,$6.51,13.87
2017-05-31,91.0,$7.72,11.79
2017-02-28,97.7,$7.64,12.79
2016-11-30,85.1,$8.23,10.34
2016-08-31,90.34,$6.99,12.93
2016-05-31,102.83,$6.00,17.13
2016-02-29,95.36,$5.91,16.14
2015-11-30,103.41,$6.06,17.07
2015-08-31,85.14,$7.05,12.08
2015-05-31,87.49,$7.12,12.29
2015-02-28,76.62,$5.95,12.88
2014-11-30,64.66,$3.93,16.47
2014-08-31,58.22,$3.31,17.59
2014-05-31,57.96,$2.62,22.1
2014-02-28,65.31,$3.51,18.6
2013-11-30,48.71,$3.34,14.59
2013-08-31,40.18,$2.82,14.23
2013-05-31,39.67,$3.03,13.08
2013-02-28,37.08,$2.28,16.24
2012-11-30,30.86,$1.94,15.92
2012-08-31,31.44,$2.25,13.95
2012-05-31,31.48,$2.95,10.69
2012-02-29,32.5,$2.84,11.43
2011-11-30,29.87,$3.13,9.54
2011-08-31,30.02,$3.08,9.76
2011-05-31,32.39,$2.59,12.51
2011-02-28,27.93,$2.64,10.57
2010-11-30,23.62,$2.60,9.08
2010-08-31,22.26,$3.40,6.55
2010-05-31,25.76,$4.48,5.75
2010-02-28,24.17,$4.67,5.17
2009-11-30,20.55,$3.67,5.6
