Waterstone Financial Price to Free Cash Flow Ratio Historical Data,Waterstone Financial Price to Free Cash Flow Ratio Historical Data,Waterstone Financial Price to Free Cash Flow Ratio Historical Data,Waterstone Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.73,,5.43
2024-12-31,13.44,$2.53,5.32
2024-09-30,14.54,$1.24,11.76
2024-06-30,12.5,$-0.42,0.0
2024-03-31,11.74,$-0.28,0.0
2023-12-31,13.55,$-1.40,0.0
2023-09-30,10.3,$1.74,5.91
2023-06-30,13.45,$0.38,35.03
2023-03-31,13.86,$1.58,8.78
2022-12-31,15.61,$9.36,1.67
2022-09-30,14.45,$7.04,2.05
2022-06-30,15.07,$8.02,1.88
2022-03-31,16.92,$9.55,1.77
2021-12-31,18.52,$5.90,3.14
2021-09-30,17.19,$6.08,2.83
2021-06-30,16.33,$4.82,3.39
2021-03-31,16.39,$0.10,171.27
2020-12-31,14.95,$-3.85,0.0
2020-09-30,12.01,$-3.73,0.0
2020-06-30,11.4,$-3.37,0.0
2020-03-31,11.07,$-3.78,0.0
2019-12-31,13.97,$-1.65,0.0
2019-09-30,12.53,$-0.46,0.0
2019-06-30,12.35,$-2.92,0.0
2019-03-31,11.83,$1.31,9.05
2018-12-31,11.6,$1.36,8.54
2018-09-30,11.79,$0.28,41.81
2018-06-30,11.64,$2.83,4.11
2018-03-31,11.73,$0.73,16.15
2017-12-31,11.16,$3.78,2.95
2017-09-30,12.68,$3.04,4.18
2017-06-30,12.18,$1.78,6.84
2017-03-31,11.41,$0.79,14.43
2016-12-31,11.43,$-0.92,0.0
2016-09-30,10.51,$-2.11,0.0
2016-06-30,9.43,$0.44,21.59
2016-03-31,8.39,$2.65,3.17
2015-12-31,8.61,$-0.54,0.0
2015-09-30,8.2,$0.82,9.99
2015-06-30,8.0,$-0.78,0.0
2015-03-31,7.75,$-1.17,0.0
2014-12-31,7.91,$-0.12,0.0
2014-09-30,6.92,$-0.64,0.0
2014-06-30,6.8,$-0.45,0.0
2014-03-31,6.17,$0.41,15.0
2013-12-31,6.59,$1.36,4.83
2013-09-30,6.02,$1.17,5.17
2013-06-30,6.03,$0.52,11.7
2013-03-31,4.91,$0.57,8.67
2012-12-31,4.63,$-0.29,0.0
2012-09-30,3.08,$-0.02,0.0
2012-06-30,2.26,$-1.00,0.0
2012-03-31,1.87,$-0.83,0.0
2011-12-31,1.12,$1.00,1.12
2011-09-30,1.54,$1.66,0.93
2011-06-30,1.34,$1.44,0.93
2011-03-31,1.82,$1.08,1.69
2010-12-31,1.93,$-0.42,0.0
2010-09-30,2.37,$-0.99,0.0
2010-06-30,2.02,$-0.63,0.0
2010-03-31,2.15,$0.37,5.79
2009-12-31,1.22,$-0.47,0.0
