Instil Bio Price to Free Cash Flow Ratio Historical Data,Instil Bio Price to Free Cash Flow Ratio Historical Data,Instil Bio Price to Free Cash Flow Ratio Historical Data,Instil Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.71,,0.0
2024-12-31,19.09,$-8.56,0.0
2024-09-30,67.32,$-9.00,0.0
2024-06-30,10.29,$-8.92,0.0
2024-03-31,10.8,$-11.37,0.0
2023-12-31,7.62,$-15.79,0.0
2023-09-30,0.43,$-21.48,0.0
2023-06-30,0.55,$-28.61,0.0
2023-03-31,0.66,$-35.85,0.0
2022-12-31,0.63,$-40.88,0.0
2022-09-30,4.84,$-48.65,0.0
2022-06-30,4.62,$-46.45,0.0
2022-03-31,10.75,$-30.26,0.0
2021-12-31,17.11,$-33.96,0.0
